loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
2.2826657;0.21323529;2.2821953;0.193;2.2775424;0.234;46;46;46;46
2.1222744;0.19117647;2.0690181;0.235;2.0569217;0.297;46;46;46;46
1.904381;0.33088234;1.8054315;0.388;1.7912402;0.415;46;46;46;46
1.7643791;0.43382353;1.5087832;0.481;1.4821961;0.526;46;46;46;46
1.5197039;0.5882353;1.1978875;0.648;1.2109172;0.635;46;46;46;46
1.4751546;0.60294116;1.0400635;0.724;1.0625051;0.711;46;46;46;46
1.2485452;0.7132353;0.9314126;0.772;0.9562239;0.762;46;46;46;46
1.2885598;0.74264705;0.84281164;0.82;0.87288076;0.813;46;46;46;46
1.230445;0.7132353;0.7880136;0.831;0.8210383;0.821;46;46;46;46
1.2553948;0.7132353;0.7312625;0.855;0.7477008;0.847;46;46;46;46
0.89950013;0.8161765;0.69271946;0.866;0.72132766;0.848;46;46;46;46
1.0483336;0.7794118;0.6674354;0.884;0.6831212;0.869;46;46;46;46
1.1630335;0.7132353;0.62170196;0.89;0.6322734;0.876;46;46;46;46
1.1716366;0.7794118;0.59628266;0.899;0.6109692;0.883;46;46;46;46
1.0753394;0.7867647;0.5900884;0.901;0.5985094;0.885;46;46;46;46
1.0748985;0.75735295;0.5796004;0.901;0.592897;0.891;46;46;46;46
1.1004826;0.7352941;0.56782544;0.896;0.5813538;0.894;46;46;46;46
1.1900723;0.74264705;0.56570065;0.901;0.56829005;0.9;46;46;46;46
0.9152792;0.7941176;0.5256663;0.905;0.54161716;0.895;46;46;46;46
1.0552906;0.7647059;0.5200471;0.916;0.5239674;0.912;46;46;46;46
0.80978787;0.8308824;0.51600707;0.909;0.5161649;0.907;46;46;46;46
0.73380196;0.8382353;0.51045406;0.922;0.51397824;0.908;46;46;46;46
0.8893125;0.7941176;0.4945106;0.912;0.49694932;0.918;46;46;46;46
0.8502336;0.8161765;0.49670273;0.91;0.49781784;0.918;46;46;46;46
0.7438283;0.8382353;0.49985993;0.914;0.5028682;0.915;46;46;46;46
0.8491148;0.8014706;0.48980054;0.916;0.48975593;0.911;46;46;46;46
0.78063065;0.8088235;0.48815793;0.914;0.49633047;0.906;46;46;46;46
0.8330655;0.8161765;0.47335717;0.917;0.47474217;0.904;46;46;46;46
0.69577575;0.8235294;0.47909674;0.902;0.47133344;0.91;46;46;46;46
