loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
2.3028588;0.10294118;2.3031282;0.106;2.3007107;0.099;10;10;10;10
2.3044975;0.0882353;2.3024778;0.107;2.2996218;0.126;10;10;10;10
2.297232;0.080882356;2.3026254;0.107;2.299685;0.126;10;10;10;10
2.291094;0.15441176;2.3021655;0.107;2.299102;0.126;10;10;10;10
2.3005679;0.11029412;2.300341;0.107;2.297095;0.126;10;10;10;10
2.286853;0.15441176;2.2958155;0.107;2.2917101;0.126;10;10;10;10
2.2673612;0.125;2.2794168;0.107;2.2734191;0.126;10;10;10;10
2.2143743;0.24264705;2.2282224;0.182;2.2205849;0.189;10;10;10;10
2.1531987;0.22058824;2.1100712;0.21;2.1048079;0.212;10;10;10;10
2.010401;0.23529412;1.9783721;0.24;1.9759207;0.231;10;10;10;10
2.0084546;0.30882353;1.8495702;0.349;1.8466412;0.359;10;10;10;10
1.8088872;0.40441176;1.7184311;0.415;1.7101543;0.41;10;10;10;10
1.6818838;0.4779412;1.5311321;0.508;1.5228988;0.528;10;10;10;10
1.6981642;0.49264705;1.3795213;0.59;1.3791844;0.6;10;10;10;10
1.4858809;0.5735294;1.2311865;0.679;1.2441641;0.665;10;10;10;10
1.4157667;0.61764705;1.115031;0.722;1.1354866;0.703;10;10;10;10
1.5309798;0.6985294;1.0482141;0.762;1.0720471;0.74;10;10;10;10
1.36314;0.6691176;1.0050513;0.784;1.0357211;0.752;10;10;10;10
1.4480703;0.6838235;0.9724444;0.799;1.0047648;0.777;10;10;10;10
1.4413004;0.6691176;0.9438429;0.797;0.97030896;0.785;10;10;10;10
1.4396517;0.6544118;0.91244066;0.807;0.94040245;0.801;10;10;10;10
1.3607975;0.74264705;0.90002364;0.791;0.92266065;0.797;10;10;10;10
1.1401664;0.7058824;0.86639476;0.825;0.8879368;0.823;10;10;10;10
1.2572695;0.7352941;0.8508743;0.83;0.8655341;0.839;10;10;10;10
1.4551191;0.6764706;0.82543504;0.845;0.8521515;0.834;10;10;10;10
1.1961521;0.7647059;0.7994152;0.841;0.8179392;0.845;10;10;10;10
1.3699641;0.7132353;0.78206354;0.846;0.8029684;0.846;10;10;10;10
1.498304;0.6544118;0.77639735;0.842;0.79055023;0.848;10;10;10;10
1.0727972;0.7647059;0.74381334;0.849;0.76091367;0.854;10;10;10;10
1.3280736;0.7058824;0.7294193;0.858;0.7525036;0.849;10;10;10;10
1.2340964;0.6911765;0.7145144;0.86;0.73539805;0.843;10;10;10;10
1.139245;0.74264705;0.71367943;0.856;0.7196545;0.855;10;10;10;10
1.3044722;0.72794116;0.6999565;0.861;0.71369874;0.86;10;10;10;10
1.2671219;0.6911765;0.69834447;0.853;0.70644426;0.859;10;10;10;10
1.2231485;0.7132353;0.6939497;0.866;0.71248;0.859;10;10;10;10
1.2375542;0.72794116;0.6819358;0.863;0.6928607;0.865;10;10;10;10
1.275897;0.7352941;0.67261857;0.866;0.6877871;0.854;10;10;10;10
1.2362341;0.6764706;0.67391896;0.87;0.6868826;0.865;10;10;10;10
1.1227139;0.7352941;0.65821594;0.87;0.6739631;0.862;10;10;10;10
1.0344456;0.7647059;0.6696116;0.868;0.6888498;0.853;10;10;10;10
1.3092359;0.7205882;0.65936553;0.873;0.6708685;0.872;10;10;10;10
1.2506495;0.6764706;0.64234465;0.871;0.65681326;0.866;10;10;10;10
1.0098977;0.74264705;0.63932294;0.872;0.65587384;0.861;10;10;10;10
1.0224857;0.74264705;0.6549159;0.866;0.6676744;0.86;10;10;10;10
1.0135936;0.72794116;0.6469282;0.87;0.65666443;0.861;10;10;10;10
0.96644187;0.7794118;0.6482529;0.864;0.6690498;0.854;10;10;10;10
0.9966301;0.7941176;0.6450541;0.868;0.6624191;0.858;10;10;10;10
0.98874015;0.7352941;0.6339872;0.869;0.650599;0.857;10;10;10;10
1.0331502;0.74264705;0.63246655;0.866;0.64631236;0.853;10;10;10;10
0.93664354;0.8014706;0.6587867;0.857;0.66662943;0.862;10;10;10;10
0.93990594;0.77205884;0.62888783;0.863;0.6482307;0.862;10;10;10;10
1.0219848;0.7647059;0.61879295;0.869;0.6335358;0.857;10;10;10;10
0.9863809;0.75735295;0.6339428;0.864;0.64639884;0.858;10;10;10;10
0.91103643;0.74264705;0.63794684;0.861;0.6527088;0.861;10;10;10;10
0.84355295;0.8308824;0.6343204;0.854;0.6508999;0.847;10;10;10;10
0.9601971;0.75;0.63418615;0.852;0.6551563;0.847;10;10;10;10
0.95462084;0.8014706;0.6129599;0.866;0.62953556;0.853;10;10;10;10
0.89824593;0.8161765;0.63284487;0.852;0.6554231;0.845;10;10;10;10
1.0814363;0.74264705;0.6181748;0.871;0.6540076;0.846;10;10;10;10
1.0630068;0.7352941;0.62182313;0.858;0.63742214;0.851;10;10;10;10
0.8304704;0.77205884;0.61983013;0.868;0.64962685;0.846;10;10;10;10
0.9641534;0.77205884;0.6202388;0.855;0.6513153;0.84;10;10;10;10
0.991482;0.7794118;0.6600336;0.843;0.6726646;0.838;10;10;10;10
0.9227356;0.7647059;0.60761005;0.859;0.6225444;0.85;10;10;10;10
0.86872077;0.8014706;0.61423373;0.859;0.63560915;0.842;10;10;10;10
0.9909883;0.77205884;0.6249612;0.852;0.63747716;0.85;10;10;10;10
0.9605713;0.7867647;0.61979204;0.849;0.6380401;0.84;10;10;10;10
0.94642395;0.7794118;0.6320785;0.841;0.6521806;0.834;10;10;10;10
0.83083534;0.8235294;0.6243669;0.859;0.6589436;0.837;10;10;10;10
0.9608503;0.77205884;0.6287014;0.847;0.6544207;0.833;10;10;10;10
0.7837148;0.8235294;0.6116414;0.851;0.6417172;0.843;10;10;10;10
0.95892334;0.7794118;0.6214817;0.856;0.64839584;0.841;10;10;10;10
0.8504742;0.8014706;0.61584044;0.845;0.63514906;0.836;10;10;10;10
0.9376356;0.74264705;0.6214868;0.857;0.6553606;0.835;10;10;10;10
1.012115;0.74264705;0.6118106;0.853;0.638823;0.832;10;10;10;10
0.8388135;0.7794118;0.6348617;0.843;0.6753833;0.826;10;10;10;10
0.7663772;0.8014706;0.5982741;0.856;0.63779247;0.833;10;10;10;10
1.1690866;0.7205882;0.63670164;0.838;0.6607343;0.837;10;10;10;10
0.77892435;0.8161765;0.6321737;0.835;0.66652465;0.832;10;10;10;10
0.8471971;0.8088235;0.64355457;0.828;0.66942745;0.825;10;10;10;10
0.8809245;0.7867647;0.65897256;0.832;0.6869606;0.816;10;10;10;10
1.0014238;0.75735295;0.6450823;0.845;0.67890894;0.823;10;10;10;10
0.9549924;0.7647059;0.64367324;0.84;0.6736355;0.822;10;10;10;10
0.8893071;0.75735295;0.7058748;0.808;0.7168474;0.805;10;10;10;10
0.95363563;0.75;0.6653132;0.831;0.6921765;0.81;10;10;10;10
0.6946208;0.8088235;0.6254209;0.844;0.6536334;0.823;10;10;10;10
0.9664758;0.7132353;0.63876754;0.844;0.66506183;0.823;10;10;10;10
0.8302779;0.75;0.65924144;0.826;0.68197316;0.811;10;10;10;10
1.0359964;0.75;0.6533802;0.827;0.6859139;0.799;10;10;10;10
0.85270876;0.7794118;0.6355046;0.836;0.6698001;0.816;10;10;10;10
0.9399019;0.7867647;0.6370447;0.835;0.68715936;0.808;10;10;10;10
0.8510207;0.8088235;0.6570405;0.824;0.686609;0.803;10;10;10;10
0.8924375;0.8088235;0.64689726;0.833;0.6888363;0.806;10;10;10;10
0.8648831;0.7867647;0.64365375;0.831;0.6949594;0.809;10;10;10;10
0.7017057;0.8235294;0.6701741;0.823;0.7149915;0.796;10;10;10;10
0.7424797;0.8014706;0.6434386;0.827;0.6814627;0.807;10;10;10;10
0.6926038;0.8308824;0.65072036;0.827;0.67615426;0.808;10;10;10;10
0.6876284;0.8161765;0.6890389;0.81;0.75067973;0.793;10;10;10;10
0.8933618;0.7794118;0.657179;0.832;0.68821836;0.804;10;10;10;10
0.7267757;0.7941176;0.6396196;0.831;0.6997143;0.806;10;10;10;10
0.7589995;0.8088235;0.6427909;0.826;0.68597096;0.805;10;10;10;10
0.6632833;0.8161765;0.69693494;0.808;0.7489618;0.788;10;10;10;10
0.7652435;0.8088235;0.66618216;0.818;0.70604265;0.798;10;10;10;10
0.6435142;0.8455882;0.6635365;0.813;0.7170558;0.805;10;10;10;10
0.631065;0.85294116;0.6511594;0.823;0.6924981;0.797;10;10;10;10
0.92679125;0.77205884;0.71192837;0.803;0.7581488;0.777;10;10;10;10
0.71483976;0.8161765;0.67399424;0.816;0.69399697;0.799;10;10;10;10
0.78549856;0.7941176;0.6546121;0.816;0.6895691;0.806;10;10;10;10
0.72686434;0.8161765;0.6771998;0.814;0.7242977;0.798;10;10;10;10
