loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
2.308489;0.0882353;2.3031578;0.107;2.2991915;0.126;6;6;6;6
2.3026793;0.11764706;2.303394;0.089;2.2991738;0.11;6;6;6;6
2.2988336;0.13235295;2.302998;0.107;2.2994287;0.126;6;6;6;6
2.3079379;0.09558824;2.303443;0.107;2.2991738;0.126;6;6;6;6
2.2929265;0.1764706;2.302388;0.107;2.2992828;0.126;6;6;6;6
2.296811;0.125;2.2957788;0.107;2.2907922;0.126;6;6;6;6
2.2728007;0.2647059;2.2742083;0.233;2.2712424;0.246;6;6;6;6
2.2270687;0.25;2.2271903;0.23;2.2248373;0.237;6;6;6;6
2.1502876;0.22794117;2.1439865;0.202;2.1428614;0.18;6;6;6;6
2.0410933;0.2720588;2.0346198;0.277;2.033574;0.253;6;6;6;6
1.9975716;0.3529412;1.905018;0.348;1.9022223;0.342;6;6;6;6
1.9132708;0.32352942;1.7555547;0.377;1.7440125;0.406;6;6;6;6
1.775583;0.44117647;1.6330543;0.414;1.6088238;0.435;6;6;6;6
1.8440213;0.34558824;1.5468918;0.416;1.5212559;0.446;6;6;6;6
1.7067583;0.34558824;1.509269;0.451;1.4805152;0.488;6;6;6;6
1.6801145;0.3897059;1.4617332;0.48;1.4371293;0.507;6;6;6;6
1.62725;0.4632353;1.4339681;0.492;1.411344;0.517;6;6;6;6
1.6538181;0.44117647;1.3991809;0.521;1.3698796;0.558;6;6;6;6
1.5726376;0.5367647;1.3762807;0.556;1.351429;0.568;6;6;6;6
1.5311571;0.52205884;1.3275778;0.56;1.3031563;0.585;6;6;6;6
1.8237476;0.44852942;1.2998618;0.591;1.2755396;0.605;6;6;6;6
1.5673757;0.5147059;1.3047992;0.584;1.2694398;0.624;6;6;6;6
1.6397717;0.5588235;1.2762989;0.614;1.2489754;0.637;6;6;6;6
1.49881;0.61764705;1.261883;0.62;1.2264155;0.63;6;6;6;6
1.5147306;0.5735294;1.2341621;0.63;1.2018275;0.655;6;6;6;6
1.3580459;0.6397059;1.1923457;0.655;1.1781433;0.656;6;6;6;6
1.5388161;0.61764705;1.1768663;0.665;1.1499317;0.672;6;6;6;6
1.3379352;0.60294116;1.1415801;0.682;1.1167532;0.68;6;6;6;6
1.3311948;0.6911765;1.1136771;0.68;1.1002784;0.71;6;6;6;6
1.2878512;0.6691176;1.1005745;0.692;1.0821434;0.71;6;6;6;6
1.4078186;0.6985294;1.0684577;0.696;1.0429296;0.72;6;6;6;6
1.4363152;0.6617647;1.0240539;0.712;1.0108491;0.731;6;6;6;6
1.3850603;0.7058824;0.99489206;0.729;0.98635393;0.725;6;6;6;6
1.3548595;0.61764705;0.968227;0.741;0.97062534;0.74;6;6;6;6
1.2116302;0.6838235;0.9408843;0.76;0.9332164;0.766;6;6;6;6
1.2028015;0.7132353;0.90252244;0.76;0.89670265;0.751;6;6;6;6
1.361397;0.6838235;0.8914724;0.756;0.898043;0.754;6;6;6;6
1.1306772;0.75735295;0.87660956;0.781;0.87247276;0.771;6;6;6;6
1.2815249;0.6764706;0.8527181;0.778;0.8548942;0.778;6;6;6;6
1.1078438;0.7352941;0.85142326;0.771;0.8481258;0.771;6;6;6;6
1.1279812;0.75735295;0.8475912;0.771;0.8392512;0.772;6;6;6;6
1.2186531;0.6985294;0.81726736;0.787;0.8127621;0.781;6;6;6;6
1.200913;0.6985294;0.8231364;0.789;0.81086;0.787;6;6;6;6
0.9695726;0.7352941;0.81621444;0.772;0.8065786;0.772;6;6;6;6
0.8741741;0.7941176;0.7884311;0.79;0.80098027;0.767;6;6;6;6
1.3753264;0.6764706;0.7858771;0.804;0.78340346;0.795;6;6;6;6
1.2551509;0.6691176;0.7812217;0.797;0.7746343;0.788;6;6;6;6
1.1894627;0.6544118;0.7835635;0.798;0.7719984;0.802;6;6;6;6
0.97817904;0.7647059;0.7802372;0.804;0.7753657;0.796;6;6;6;6
1.35348;0.7132353;0.7799581;0.794;0.75795764;0.798;6;6;6;6
1.2591112;0.7132353;0.7871378;0.789;0.7711078;0.798;6;6;6;6
0.947464;0.7794118;0.75619555;0.799;0.7551408;0.806;6;6;6;6
1.1001401;0.74264705;0.78610533;0.792;0.76401114;0.808;6;6;6;6
1.0613159;0.7132353;0.7453929;0.807;0.7342694;0.809;6;6;6;6
1.1738205;0.6911765;0.74848986;0.81;0.7556056;0.796;6;6;6;6
1.0007777;0.77205884;0.74878347;0.815;0.7377041;0.81;6;6;6;6
1.0595784;0.75;0.7388275;0.805;0.737474;0.796;6;6;6;6
1.3200147;0.7058824;0.74105203;0.805;0.73096263;0.808;6;6;6;6
1.1722076;0.6691176;0.75984275;0.789;0.73380125;0.816;6;6;6;6
0.95439756;0.8382353;0.75101024;0.794;0.72784144;0.818;6;6;6;6
1.0999795;0.7794118;0.7308889;0.797;0.7120696;0.801;6;6;6;6
1.0950066;0.75;0.7435786;0.798;0.7289364;0.813;6;6;6;6
1.1231756;0.75;0.7288158;0.803;0.712563;0.812;6;6;6;6
0.8003127;0.8014706;0.7182164;0.809;0.7084599;0.82;6;6;6;6
0.9384337;0.7794118;0.73050916;0.813;0.71958596;0.805;6;6;6;6
0.8535263;0.7941176;0.77089345;0.782;0.74869776;0.798;6;6;6;6
0.9906769;0.74264705;0.75377744;0.772;0.73536533;0.794;6;6;6;6
1.1721241;0.7205882;0.7208031;0.801;0.69726;0.828;6;6;6;6
1.2828805;0.7058824;0.72461486;0.817;0.70935106;0.816;6;6;6;6
0.73470116;0.8161765;0.7112409;0.814;0.6946437;0.815;6;6;6;6
0.9877242;0.7647059;0.72233814;0.796;0.7006447;0.821;6;6;6;6
0.9903076;0.75;0.71937525;0.808;0.70112514;0.822;6;6;6;6
0.86970377;0.8088235;0.7543183;0.8;0.71320105;0.814;6;6;6;6
0.9033475;0.7941176;0.7230328;0.806;0.6897077;0.821;6;6;6;6
1.0388062;0.77205884;0.7207393;0.811;0.6902452;0.829;6;6;6;6
1.1617573;0.6838235;0.72679573;0.793;0.70852476;0.819;6;6;6;6
1.022704;0.7132353;0.80243295;0.749;0.76355785;0.772;6;6;6;6
