loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
2.316601;0.073529415;2.3089917;0.093;2.30655;0.116;257;257;257;257
2.30645;0.11029412;2.308478;0.093;2.3061028;0.116;257;257;257;257
2.3079126;0.066176474;2.307959;0.093;2.3056557;0.116;257;257;257;257
2.317694;0.066176474;2.3074403;0.093;2.305216;0.116;257;257;257;257
2.3013678;0.125;2.3069322;0.093;2.3047748;0.116;257;257;257;257
2.3069324;0.13235295;2.306428;0.093;2.3043354;0.116;257;257;257;257
2.302202;0.13235295;2.3059225;0.094;2.3038955;0.116;257;257;257;257
2.3130212;0.080882356;2.3054187;0.094;2.303459;0.116;257;257;257;257
2.2996438;0.125;2.3049192;0.094;2.3030238;0.116;257;257;257;257
2.2952476;0.16176471;2.3044279;0.094;2.3025942;0.116;257;257;257;257
2.3106134;0.0882353;2.3039331;0.094;2.3021655;0.117;257;257;257;257
2.3051488;0.073529415;2.3034348;0.094;2.3017375;0.117;257;257;257;257
2.2986398;0.10294118;2.3029406;0.094;2.3013077;0.117;257;257;257;257
2.3044555;0.09558824;2.302452;0.094;2.3008816;0.118;257;257;257;257
2.311449;0.09558824;2.3019624;0.094;2.3004549;0.118;257;257;257;257
2.3076923;0.09558824;2.3014748;0.094;2.300029;0.119;257;257;257;257
2.3054326;0.0882353;2.3009903;0.096;2.2996054;0.119;257;257;257;257
2.300111;0.11764706;2.3005066;0.096;2.2991805;0.12;257;257;257;257
2.305472;0.05882353;2.3000276;0.097;2.2987623;0.12;257;257;257;257
2.305882;0.066176474;2.2995484;0.097;2.2983418;0.12;257;257;257;257
2.300649;0.0882353;2.299068;0.097;2.2979205;0.121;257;257;257;257
2.3052254;0.073529415;2.2985933;0.097;2.2975042;0.121;257;257;257;257
2.3056386;0.073529415;2.2981086;0.097;2.2970805;0.122;257;257;257;257
2.312916;0.05882353;2.2976341;0.098;2.2966592;0.122;257;257;257;257
2.3033109;0.11029412;2.297158;0.098;2.296239;0.122;257;257;257;257
2.2941697;0.11764706;2.2966855;0.098;2.295822;0.122;257;257;257;257
2.2977197;0.10294118;2.2962112;0.098;2.295405;0.122;257;257;257;257
2.293035;0.13235295;2.2957392;0.098;2.294985;0.122;257;257;257;257
2.2998025;0.11029412;2.2952647;0.098;2.2945697;0.122;257;257;257;257
2.2994635;0.0882353;2.2947922;0.098;2.294151;0.122;257;257;257;257
2.3009727;0.080882356;2.2943223;0.099;2.2937357;0.123;257;257;257;257
2.2886693;0.11764706;2.2938442;0.099;2.293315;0.124;257;257;257;257
2.293032;0.11029412;2.2933707;0.1;2.2928948;0.125;257;257;257;257
2.2988818;0.080882356;2.292902;0.102;2.2924762;0.126;257;257;257;257
2.287735;0.11029412;2.2924232;0.102;2.2920527;0.129;257;257;257;257
2.2886975;0.0882353;2.2919495;0.103;2.2916372;0.129;257;257;257;257
2.2976003;0.0882353;2.291478;0.105;2.2912138;0.129;257;257;257;257
2.2968302;0.080882356;2.2910028;0.106;2.2907932;0.13;257;257;257;257
2.2963994;0.080882356;2.290532;0.106;2.2903774;0.131;257;257;257;257
2.3002985;0.05147059;2.2900562;0.106;2.2899528;0.132;257;257;257;257
2.287672;0.11029412;2.2895806;0.107;2.2895324;0.132;257;257;257;257
2.290152;0.080882356;2.2890992;0.107;2.2891088;0.132;257;257;257;257
2.2916393;0.080882356;2.288624;0.107;2.2886832;0.133;257;257;257;257
2.29289;0.066176474;2.2881415;0.111;2.2882557;0.134;257;257;257;257
2.2906215;0.073529415;2.2876647;0.111;2.2878306;0.135;257;257;257;257
2.2935824;0.10294118;2.2871845;0.112;2.2874043;0.138;257;257;257;257
2.2885838;0.10294118;2.2867055;0.113;2.2869756;0.142;257;257;257;257
2.286718;0.15441176;2.286223;0.113;2.2865436;0.143;257;257;257;257
2.2794805;0.16911764;2.2857475;0.113;2.2861195;0.143;257;257;257;257
2.2873805;0.125;2.2852645;0.115;2.285684;0.144;257;257;257;257
2.2900631;0.13235295;2.2847877;0.116;2.2852533;0.147;257;257;257;257
2.2856548;0.16176471;2.284304;0.116;2.2848153;0.15;257;257;257;257
2.2924376;0.0882353;2.2838175;0.117;2.2843804;0.151;257;257;257;257
2.2878942;0.0882353;2.283333;0.121;2.2839453;0.155;257;257;257;257
2.2818155;0.18382353;2.2828486;0.124;2.283505;0.158;257;257;257;257
2.2967877;0.0882353;2.2823596;0.126;2.2830598;0.16;257;257;257;257
2.2868242;0.13970588;2.2818718;0.131;2.2826192;0.161;257;257;257;257
2.2890425;0.125;2.281381;0.138;2.282172;0.162;257;257;257;257
2.2839475;0.15441176;2.2808871;0.144;2.2817247;0.163;257;257;257;257
2.2913072;0.080882356;2.2803948;0.147;2.2812815;0.164;257;257;257;257
2.2865145;0.0882353;2.279895;0.15;2.2808328;0.166;257;257;257;257
2.2832246;0.16176471;2.2793944;0.153;2.2803798;0.168;257;257;257;257
2.2828414;0.11764706;2.278896;0.155;2.2799256;0.168;257;257;257;257
2.2830691;0.19117647;2.2783976;0.16;2.27947;0.17;257;257;257;257
2.2803059;0.125;2.2778952;0.163;2.279011;0.174;257;257;257;257
2.2824721;0.11764706;2.2773926;0.174;2.2785544;0.176;257;257;257;257
2.2813938;0.1764706;2.276883;0.181;2.2780902;0.176;257;257;257;257
2.282454;0.11764706;2.276374;0.186;2.2776275;0.18;257;257;257;257
2.2864277;0.125;2.275861;0.19;2.2771645;0.181;257;257;257;257
2.279844;0.10294118;2.275344;0.191;2.2766953;0.185;257;257;257;257
2.2817469;0.15441176;2.274829;0.195;2.2762284;0.188;257;257;257;257
2.2819862;0.125;2.2743125;0.2;2.275763;0.191;257;257;257;257
2.2841032;0.16911764;2.273792;0.203;2.2752843;0.194;257;257;257;257
2.2797718;0.13970588;2.2732663;0.21;2.2748032;0.198;257;257;257;257
2.2785459;0.1764706;2.2727392;0.219;2.2743235;0.213;257;257;257;257
2.2739043;0.1985294;2.2722132;0.223;2.2738376;0.218;257;257;257;257
2.2766888;0.19117647;2.271681;0.224;2.2733517;0.221;257;257;257;257
2.2817123;0.125;2.2711456;0.23;2.272865;0.224;257;257;257;257
2.2835102;0.13235295;2.270608;0.234;2.2723799;0.23;257;257;257;257
2.2784631;0.15441176;2.270065;0.24;2.2718832;0.235;257;257;257;257
2.2790952;0.16176471;2.2695246;0.243;2.2713907;0.239;257;257;257;257
2.275561;0.1985294;2.2689755;0.25;2.270893;0.246;257;257;257;257
2.2703676;0.25735295;2.2684271;0.255;2.270393;0.243;257;257;257;257
2.2740397;0.2647059;2.2678733;0.255;2.2698863;0.245;257;257;257;257
2.2746525;0.21323529;2.2673132;0.261;2.2693765;0.249;257;257;257;257
2.2769241;0.18382353;2.2667542;0.264;2.2688696;0.25;257;257;257;257
2.2759867;0.24264705;2.266193;0.267;2.268353;0.254;257;257;257;257
2.27127;0.1985294;2.2656267;0.271;2.2678342;0.259;257;257;257;257
2.2639413;0.2647059;2.2650573;0.275;2.267314;0.264;257;257;257;257
2.2579126;0.31617647;2.2644725;0.278;2.266784;0.27;257;257;257;257
2.271247;0.24264705;2.2638981;0.282;2.2662618;0.276;257;257;257;257
2.2650566;0.23529412;2.2633128;0.285;2.2657313;0.281;257;257;257;257
2.267983;0.25735295;2.2627275;0.291;2.265198;0.284;257;257;257;257
2.2660334;0.25;2.2621408;0.298;2.264662;0.289;257;257;257;257
2.275045;0.27941176;2.2615457;0.304;2.2641168;0.291;257;257;257;257
2.264313;0.2720588;2.2609432;0.309;2.2635677;0.294;257;257;257;257
2.2622666;0.30147058;2.2603414;0.312;2.26302;0.296;257;257;257;257
2.2593756;0.30147058;2.2597306;0.313;2.2624662;0.298;257;257;257;257
2.2651782;0.27941176;2.2591174;0.314;2.26191;0.304;257;257;257;257
2.26876;0.25;2.2585034;0.315;2.261349;0.308;257;257;257;257
2.2678838;0.32352942;2.2578862;0.318;2.2607818;0.312;257;257;257;257
2.266689;0.27941176;2.2572618;0.325;2.2602122;0.315;257;257;257;257
2.2625036;0.23529412;2.2566278;0.334;2.259639;0.319;257;257;257;257
2.2644138;0.22058824;2.2559907;0.339;2.2590609;0.325;257;257;257;257
2.2620826;0.27941176;2.2553482;0.345;2.258479;0.329;257;257;257;257
2.2675686;0.25735295;2.2547088;0.351;2.2578933;0.337;257;257;257;257
2.248142;0.34558824;2.2540588;0.354;2.2573032;0.341;257;257;257;257
2.2657409;0.25;2.2534082;0.355;2.2567046;0.344;257;257;257;257
2.257352;0.29411766;2.2527523;0.359;2.2561007;0.354;257;257;257;257
2.2575378;0.31617647;2.2520874;0.365;2.2554953;0.358;257;257;257;257
2.2612772;0.2647059;2.2514253;0.368;2.25488;0.364;257;257;257;257
2.2604098;0.25735295;2.2507539;0.373;2.2542646;0.365;257;257;257;257
2.248204;0.32352942;2.2500775;0.373;2.2536407;0.367;257;257;257;257
2.262855;0.32352942;2.2494018;0.376;2.2530153;0.367;257;257;257;257
2.2509985;0.32352942;2.2487056;0.377;2.2523773;0.371;257;257;257;257
2.2572498;0.32352942;2.2480125;0.382;2.2517402;0.38;257;257;257;257
2.2635126;0.27941176;2.2473152;0.387;2.251097;0.384;257;257;257;257
2.2547677;0.30882353;2.2466123;0.388;2.2504466;0.387;257;257;257;257
2.2606277;0.31617647;2.2459064;0.394;2.2497957;0.393;257;257;257;257
2.2611787;0.34558824;2.2451885;0.395;2.2491355;0.396;257;257;257;257
2.2640953;0.24264705;2.2444701;0.398;2.2484705;0.4;257;257;257;257
2.2524276;0.36764705;2.2437396;0.402;2.247795;0.406;257;257;257;257
2.2526803;0.3382353;2.2430084;0.403;2.247124;0.408;257;257;257;257
2.249298;0.3529412;2.2422729;0.407;2.2464428;0.409;257;257;257;257
2.2559612;0.34558824;2.2415206;0.409;2.2457488;0.411;257;257;257;257
2.2482243;0.33088234;2.2407649;0.41;2.2450545;0.413;257;257;257;257
2.2470455;0.30882353;2.24;0.417;2.244347;0.417;257;257;257;257
2.2524843;0.33088234;2.2392282;0.422;2.2436337;0.417;257;257;257;257
2.2533214;0.30147058;2.2384489;0.421;2.2429166;0.419;257;257;257;257
2.2434115;0.375;2.237665;0.424;2.2421994;0.417;257;257;257;257
2.2440357;0.34558824;2.2368758;0.427;2.2414737;0.42;257;257;257;257
2.2474864;0.36764705;2.2360795;0.429;2.2407334;0.424;257;257;257;257
2.2453005;0.31617647;2.2352765;0.434;2.239991;0.423;257;257;257;257
2.2438657;0.31617647;2.2344656;0.435;2.2392378;0.425;257;257;257;257
2.247714;0.3382353;2.23365;0.436;2.2384849;0.429;257;257;257;257
2.243908;0.38235295;2.232828;0.437;2.2377224;0.432;257;257;257;257
2.2359362;0.375;2.231997;0.438;2.2369504;0.435;257;257;257;257
2.243294;0.32352942;2.2311528;0.441;2.236167;0.438;257;257;257;257
2.2394242;0.38235295;2.2303042;0.444;2.235381;0.441;257;257;257;257
2.238024;0.36764705;2.2294445;0.446;2.2345934;0.445;257;257;257;257
2.2339833;0.36764705;2.228576;0.446;2.2337897;0.449;257;257;257;257
2.2210593;0.41911766;2.2277033;0.449;2.2329798;0.45;257;257;257;257
2.2403576;0.31617647;2.2268255;0.45;2.2321675;0.453;257;257;257;257
2.2381208;0.3970588;2.2259357;0.45;2.231346;0.453;257;257;257;257
2.2377107;0.375;2.2250345;0.448;2.2305114;0.455;257;257;257;257
2.2336996;0.3382353;2.2241282;0.449;2.2296705;0.457;257;257;257;257
2.222075;0.34558824;2.2232103;0.449;2.2288175;0.462;257;257;257;257
2.2251067;0.40441176;2.2222805;0.449;2.2279572;0.462;257;257;257;257
2.236204;0.31617647;2.2213478;0.451;2.2270892;0.463;257;257;257;257
2.2250006;0.4117647;2.2204044;0.452;2.2262096;0.462;257;257;257;257
2.242933;0.34558824;2.2194507;0.455;2.225325;0.465;257;257;257;257
2.235748;0.42647058;2.2184916;0.46;2.224431;0.47;257;257;257;257
2.226071;0.42647058;2.2175274;0.462;2.2235389;0.469;257;257;257;257
2.239311;0.3382353;2.2165425;0.465;2.2226143;0.471;257;257;257;257
2.2290094;0.40441176;2.2155542;0.466;2.2216988;0.472;257;257;257;257
2.218089;0.44117647;2.214545;0.468;2.2207656;0.473;257;257;257;257
2.2203245;0.40441176;2.2135317;0.469;2.219824;0.477;257;257;257;257
2.210532;0.375;2.212498;0.472;2.2188687;0.477;257;257;257;257
2.2348144;0.38235295;2.211473;0.471;2.2178972;0.477;257;257;257;257
2.2118058;0.4852941;2.210429;0.473;2.2169306;0.482;257;257;257;257
2.226841;0.3382353;2.2093706;0.475;2.2159505;0.484;257;257;257;257
2.2306993;0.3602941;2.208306;0.476;2.2149603;0.485;257;257;257;257
2.2115517;0.42647058;2.2072256;0.476;2.2139528;0.487;257;257;257;257
2.1966302;0.42647058;2.206132;0.477;2.2129335;0.49;257;257;257;257
2.2229602;0.375;2.205032;0.48;2.211902;0.492;257;257;257;257
2.2220695;0.42647058;2.2039175;0.48;2.2108636;0.494;257;257;257;257
2.2127404;0.43382353;2.202791;0.483;2.209818;0.495;257;257;257;257
2.2106853;0.4632353;2.2016497;0.484;2.208749;0.493;257;257;257;257
2.2215922;0.44117647;2.2005064;0.485;2.2076757;0.494;257;257;257;257
2.213925;0.36764705;2.1993468;0.484;2.2065983;0.493;257;257;257;257
2.2192595;0.34558824;2.1981764;0.484;2.2055056;0.492;257;257;257;257
2.2179549;0.3529412;2.1969862;0.489;2.2044008;0.493;257;257;257;257
2.2234008;0.33088234;2.1957955;0.489;2.2032855;0.494;257;257;257;257
2.1800961;0.4852941;2.1945677;0.49;2.202143;0.494;257;257;257;257
2.2171037;0.38235295;2.193339;0.493;2.2009964;0.495;257;257;257;257
2.208031;0.3382353;2.1920967;0.495;2.1998274;0.497;257;257;257;257
2.2113335;0.3970588;2.1908407;0.495;2.1986544;0.498;257;257;257;257
2.1935728;0.3970588;2.1895688;0.497;2.197457;0.499;257;257;257;257
2.204979;0.3897059;2.1882799;0.501;2.1962543;0.5;257;257;257;257
2.197983;0.3970588;2.1869733;0.502;2.195037;0.499;257;257;257;257
2.1975064;0.47058824;2.1856635;0.505;2.1938064;0.5;257;257;257;257
2.18531;0.4779412;2.1843202;0.504;2.1925614;0.502;257;257;257;257
2.1959124;0.44117647;2.182969;0.505;2.1912959;0.502;257;257;257;257
2.1754076;0.4632353;2.1815977;0.507;2.1900253;0.505;257;257;257;257
2.207951;0.3897059;2.1802227;0.509;2.1887329;0.505;257;257;257;257
2.2036183;0.4632353;2.1788366;0.51;2.1874356;0.505;257;257;257;257
2.2005453;0.3970588;2.1774218;0.51;2.186114;0.508;257;257;257;257
2.2051136;0.4117647;2.1759975;0.51;2.1847908;0.512;257;257;257;257
2.212046;0.3602941;2.1745596;0.512;2.1834338;0.516;257;257;257;257
2.1835356;0.45588234;2.1731005;0.513;2.1820698;0.517;257;257;257;257
2.2197294;0.3602941;2.1716282;0.515;2.1806874;0.518;257;257;257;257
2.189121;0.42647058;2.1701348;0.517;2.1792912;0.517;257;257;257;257
2.19564;0.4117647;2.1686206;0.523;2.1778727;0.521;257;257;257;257
2.201584;0.36764705;2.1670892;0.524;2.176439;0.522;257;257;257;257
2.1742332;0.41911766;2.165534;0.524;2.1749883;0.523;257;257;257;257
2.1898556;0.41911766;2.1639616;0.523;2.1735268;0.523;257;257;257;257
2.1995277;0.3897059;2.1623805;0.525;2.172041;0.523;257;257;257;257
2.1571972;0.5147059;2.1607697;0.526;2.170531;0.522;257;257;257;257
2.1734877;0.45588234;2.1591375;0.526;2.1690056;0.525;257;257;257;257
2.1752264;0.44117647;2.157492;0.527;2.1674676;0.525;257;257;257;257
2.177773;0.43382353;2.1558175;0.528;2.1659029;0.526;257;257;257;257
2.1625726;0.44117647;2.1541305;0.53;2.1643293;0.529;257;257;257;257
2.1789584;0.4779412;2.1524224;0.53;2.162728;0.529;257;257;257;257
2.186771;0.41911766;2.1507006;0.531;2.1611018;0.531;257;257;257;257
2.1627452;0.50735295;2.148961;0.531;2.159464;0.531;257;257;257;257
2.1520069;0.52205884;2.1471791;0.533;2.1577933;0.532;257;257;257;257
2.1659186;0.4779412;2.1453924;0.534;2.1561108;0.534;257;257;257;257
2.1639607;0.44117647;2.1435723;0.535;2.1544065;0.537;257;257;257;257
2.1652195;0.44117647;2.1417332;0.536;2.1526797;0.537;257;257;257;257
2.1610494;0.47058824;2.139876;0.539;2.1509373;0.537;257;257;257;257
2.1629903;0.44852942;2.1379983;0.539;2.149172;0.537;257;257;257;257
2.1478932;0.47058824;2.1360795;0.54;2.1473687;0.539;257;257;257;257
2.1872687;0.44117647;2.1341572;0.54;2.1455631;0.542;257;257;257;257
2.1601334;0.4779412;2.1322043;0.542;2.1437159;0.544;257;257;257;257
