loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
0.31197622;0.8875;0.19817431;0.9426;0.22317773;0.9349;168;168;168;168
0.3019744;0.9125;0.1359926;0.9624;0.1431173;0.9566;168;168;168;168
0.09035838;0.975;0.119403444;0.9642;0.12624346;0.9599;168;168;168;168
0.08558081;0.975;0.114514574;0.9664;0.11699634;0.9651;168;168;168;168
0.07437827;0.9625;0.0973117;0.9742;0.093303934;0.9726;168;168;168;168
0.010521853;1.0;0.10313826;0.9724;0.09774494;0.9703;168;168;168;168
0.010657424;1.0;0.0945903;0.9764;0.09305921;0.974;168;168;168;168
0.004807415;1.0;0.105892904;0.9745;0.10094913;0.9733;168;168;168;168
0.011325575;1.0;0.111963086;0.9717;0.10824971;0.9708;168;168;168;168
0.028960329;0.9875;0.109240085;0.9748;0.11113533;0.971;168;168;168;168
0.010759162;1.0;0.10174168;0.9762;0.1048827;0.9738;168;168;168;168
0.036526546;0.9875;0.116162844;0.975;0.11272008;0.9739;168;168;168;168
0.0070956;1.0;0.1139157;0.9746;0.11593657;0.9738;168;168;168;168
0.013599321;1.0;0.13032046;0.9718;0.1438568;0.9684;168;168;168;168
0.0038646702;1.0;0.13122049;0.9747;0.120122194;0.974;168;168;168;168
0.0012535055;1.0;0.128152;0.975;0.12238297;0.9736;168;168;168;168
0.11964768;0.975;0.119375184;0.9766;0.112670705;0.9778;168;168;168;168
0.0007350484;1.0;0.1199568;0.9751;0.11969916;0.9749;168;168;168;168
0.0069544152;1.0;0.12781364;0.9772;0.119396314;0.9755;168;168;168;168
0.00083225156;1.0;0.11554863;0.9782;0.11057241;0.9797;168;168;168;168
0.007920463;1.0;0.14697187;0.9705;0.16417171;0.9674;168;168;168;168
0.00070854824;1.0;0.13650341;0.9763;0.13370754;0.975;168;168;168;168
0.0016306157;1.0;0.1321658;0.9769;0.1318157;0.9748;168;168;168;168
0.0053505665;1.0;0.13947767;0.9742;0.14346103;0.973;168;168;168;168
0.00030373217;1.0;0.13143195;0.9758;0.13771978;0.9764;168;168;168;168
0.0004429543;1.0;0.11902479;0.9785;0.11671897;0.9786;168;168;168;168
0.0005124812;1.0;0.12549676;0.9788;0.119036734;0.9765;168;168;168;168
0.00010061615;1.0;0.123359695;0.9787;0.11404675;0.9793;168;168;168;168
0.0019545807;1.0;0.13240287;0.975;0.12188858;0.9763;168;168;168;168
3.1123243e-05;1.0;0.1186177;0.98;0.10406423;0.9808;168;168;168;168
0.0016770524;1.0;0.1438729;0.9765;0.11847688;0.9791;168;168;168;168
