loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
2.3028738;0.0992;2.3006294;0.105;2.3013523;0.107;77;77;77;77
2.301553;0.0992;2.2992482;0.105;2.2998273;0.107;77;77;77;77
2.3001976;0.0992;2.297708;0.105;2.2981436;0.107;77;77;77;77
2.2986882;0.0992;2.2957928;0.105;2.296132;0.107;77;77;77;77
2.2968886;0.0992;2.293375;0.105;2.2936213;0.107;77;77;77;77
2.294666;0.0992;2.290335;0.106;2.2905338;0.108;77;77;77;77
2.2919354;0.0996;2.2865808;0.16;2.2868083;0.166;77;77;77;77
2.2886267;0.1314;2.282073;0.205;2.282372;0.224;77;77;77;77
2.2846372;0.1816;2.2766027;0.312;2.2770705;0.325;77;77;77;77
2.2798104;0.2976;2.2699542;0.432;2.2706976;0.433;77;77;77;77
2.2739565;0.395;2.2619386;0.49;2.2630475;0.488;77;77;77;77
2.2668967;0.4358;2.252214;0.491;2.2538266;0.496;77;77;77;77
2.2583582;0.4442;2.2403948;0.479;2.2426794;0.481;77;77;77;77
2.2480474;0.4394;2.2260966;0.464;2.2291965;0.467;77;77;77;77
2.2356129;0.4306;2.2089503;0.445;2.2130394;0.452;77;77;77;77
2.2207563;0.4186;2.1886294;0.438;2.1938107;0.437;77;77;77;77
2.203196;0.4078;2.1647727;0.43;2.171238;0.431;77;77;77;77
2.1826556;0.3972;2.1369133;0.433;2.1449714;0.433;77;77;77;77
2.1588788;0.388;2.104562;0.431;2.1146102;0.437;77;77;77;77
2.1316235;0.3848;2.0672796;0.428;2.0798013;0.439;77;77;77;77
2.1007183;0.3838;2.0245893;0.432;2.0399902;0.45;77;77;77;77
2.0659697;0.385;1.9760269;0.449;1.9947304;0.465;77;77;77;77
2.0272965;0.3976;1.9215702;0.472;1.9438305;0.496;77;77;77;77
1.9850279;0.4142;1.8617302;0.489;1.887566;0.514;77;77;77;77
1.9399141;0.4346;1.7974101;0.5;1.8267524;0.533;77;77;77;77
1.8930551;0.445;1.7296094;0.508;1.7622173;0.536;77;77;77;77
1.8456088;0.4494;1.6592139;0.508;1.6949066;0.544;77;77;77;77
1.7985781;0.4518;1.5869442;0.513;1.6254894;0.548;77;77;77;77
1.7526742;0.4574;1.5137408;0.531;1.5548176;0.563;77;77;77;77
1.7084211;0.4698;1.4409984;0.562;1.4839867;0.583;77;77;77;77
1.6661928;0.493;1.3704551;0.61;1.4147465;0.634;77;77;77;77
1.6269987;0.5276;1.3044184;0.667;1.3497485;0.67;77;77;77;77
1.5924022;0.571;1.24347;0.711;1.2906611;0.704;77;77;77;77
1.563139;0.6096;1.1869694;0.732;1.2362375;0.71;77;77;77;77
1.538612;0.6144;1.133819;0.726;1.1839558;0.71;77;77;77;77
1.5167935;0.6144;1.0840669;0.718;1.1331172;0.706;77;77;77;77
1.4961735;0.6096;1.0385523;0.717;1.085153;0.707;77;77;77;77
1.4768012;0.6104;0.9976949;0.731;1.0427246;0.713;77;77;77;77
1.4582193;0.6152;0.9630844;0.743;1.0088784;0.721;77;77;77;77
1.4399066;0.6276;0.93648094;0.756;0.9848396;0.735;77;77;77;77
1.4226213;0.6378;0.9174877;0.769;0.9682865;0.748;77;77;77;77
1.4069291;0.6478;0.90548044;0.774;0.95771044;0.751;77;77;77;77
1.3922063;0.6546;0.8984183;0.775;0.9507052;0.746;77;77;77;77
1.3780258;0.658;0.89571387;0.772;0.9456531;0.733;77;77;77;77
1.3655849;0.6554;0.8971079;0.781;0.9438564;0.733;77;77;77;77
1.3554893;0.654;0.8999166;0.779;0.9441661;0.738;77;77;77;77
1.346289;0.6566;0.9016258;0.783;0.94441825;0.747;77;77;77;77
1.3368605;0.6638;0.90256643;0.794;0.9442297;0.757;77;77;77;77
1.3279169;0.673;0.90164346;0.8;0.9413795;0.769;77;77;77;77
1.3192139;0.6804;0.89682925;0.809;0.93304354;0.776;77;77;77;77
1.3095441;0.6846;0.8879422;0.812;0.9201384;0.784;77;77;77;77
1.2992088;0.6884;0.87569666;0.813;0.9046226;0.783;77;77;77;77
1.2889552;0.69;0.8608169;0.811;0.88830906;0.782;77;77;77;77
1.2790124;0.6922;0.8452526;0.812;0.87246716;0.789;77;77;77;77
1.2693279;0.6962;0.8296086;0.818;0.8563644;0.793;77;77;77;77
1.2601227;0.7046;0.81440526;0.824;0.8406198;0.803;77;77;77;77
1.2514236;0.7114;0.8001541;0.832;0.82573146;0.809;77;77;77;77
1.243202;0.717;0.78698206;0.836;0.8121051;0.812;77;77;77;77
1.2352203;0.7198;0.7753489;0.836;0.8007108;0.812;77;77;77;77
1.2269257;0.7244;0.765106;0.839;0.79131794;0.816;77;77;77;77
1.2185416;0.7274;0.7566103;0.843;0.78396493;0.815;77;77;77;77
1.210328;0.7288;0.749565;0.843;0.7780338;0.821;77;77;77;77
1.2020283;0.7312;0.74315625;0.848;0.77218;0.821;77;77;77;77
1.193771;0.7336;0.737531;0.855;0.7671111;0.822;77;77;77;77
1.1858151;0.7344;0.73243576;0.857;0.7631091;0.825;77;77;77;77
1.178109;0.737;0.7268161;0.861;0.7587677;0.825;77;77;77;77
1.1705412;0.7386;0.7201378;0.861;0.75313807;0.827;77;77;77;77
1.1630461;0.7396;0.7127708;0.863;0.7464421;0.825;77;77;77;77
1.1557045;0.7412;0.70499057;0.865;0.73878545;0.825;77;77;77;77
1.148505;0.7426;0.6968633;0.866;0.7305907;0.825;77;77;77;77
1.1414148;0.7446;0.6880444;0.867;0.7218309;0.827;77;77;77;77
1.1344926;0.7462;0.67898947;0.871;0.7131129;0.829;77;77;77;77
1.127752;0.7472;0.67066604;0.879;0.7052321;0.832;77;77;77;77
1.1212214;0.748;0.66312397;0.879;0.69773716;0.837;77;77;77;77
1.1148376;0.7502;0.65632844;0.88;0.69048;0.841;77;77;77;77
1.1085498;0.7522;0.6503532;0.882;0.6840962;0.841;77;77;77;77
1.1023293;0.7536;0.6449116;0.882;0.6780094;0.846;77;77;77;77
1.0962384;0.755;0.64033985;0.884;0.6730329;0.848;77;77;77;77
1.090273;0.7554;0.6362332;0.882;0.6681456;0.853;77;77;77;77
1.0843797;0.756;0.63258344;0.881;0.66377425;0.854;77;77;77;77
1.0785856;0.7588;0.628958;0.877;0.6592906;0.854;77;77;77;77
1.0728823;0.7604;0.6249188;0.878;0.6546255;0.857;77;77;77;77
1.0673035;0.7614;0.6209917;0.877;0.6501953;0.855;77;77;77;77
1.0618334;0.7624;0.61715734;0.881;0.6451576;0.859;77;77;77;77
1.0565404;0.7642;0.6133419;0.882;0.6411996;0.86;77;77;77;77
1.051395;0.7642;0.60862494;0.884;0.6357298;0.862;77;77;77;77
1.0463431;0.7666;0.60480547;0.883;0.6327379;0.863;77;77;77;77
1.0414366;0.766;0.60071886;0.888;0.62741154;0.864;77;77;77;77
1.0366442;0.7686;0.59845334;0.883;0.6280057;0.865;77;77;77;77
1.0321656;0.7678;0.59482574;0.885;0.6213884;0.863;77;77;77;77
1.0283184;0.7702;0.5959304;0.884;0.6279967;0.859;77;77;77;77
1.0247413;0.7676;0.5904657;0.888;0.617283;0.868;77;77;77;77
1.0201113;0.771;0.5880533;0.89;0.61941457;0.863;77;77;77;77
1.0138615;0.7708;0.5862032;0.891;0.61780834;0.863;77;77;77;77
1.0095459;0.7716;0.5841503;0.892;0.61246485;0.869;77;77;77;77
1.0068464;0.7718;0.58436424;0.887;0.61741745;0.867;77;77;77;77
1.0022451;0.772;0.5792114;0.894;0.6103123;0.87;77;77;77;77
0.9970587;0.7734;0.5769627;0.896;0.6071965;0.869;77;77;77;77
0.9936658;0.7738;0.57778406;0.889;0.6116561;0.865;77;77;77;77
0.9904357;0.775;0.5726437;0.897;0.60345984;0.868;77;77;77;77
0.9858373;0.7754;0.5704189;0.894;0.60306066;0.867;77;77;77;77
0.9814334;0.777;0.57030314;0.888;0.6049482;0.869;77;77;77;77
0.9783134;0.7786;0.56715673;0.899;0.5980728;0.871;77;77;77;77
0.97496766;0.78;0.566717;0.892;0.6016628;0.869;77;77;77;77
0.970416;0.7806;0.56453943;0.891;0.5990934;0.869;77;77;77;77
0.9662629;0.782;0.56324357;0.896;0.5961533;0.869;77;77;77;77
0.96308887;0.7824;0.56476885;0.889;0.6013375;0.864;77;77;77;77
0.9597088;0.7838;0.5610857;0.895;0.59441346;0.868;77;77;77;77
0.95555604;0.7834;0.56072354;0.889;0.5962561;0.867;77;77;77;77
0.95133954;0.784;0.56028384;0.89;0.5964509;0.862;77;77;77;77
0.947768;0.7866;0.5578939;0.896;0.5916921;0.867;77;77;77;77
0.9445627;0.7854;0.55878675;0.892;0.59641045;0.857;77;77;77;77
0.9410255;0.787;0.5550519;0.895;0.58945566;0.867;77;77;77;77
0.9370376;0.7874;0.5551685;0.89;0.59225976;0.862;77;77;77;77
0.9329103;0.789;0.5535949;0.888;0.590262;0.866;77;77;77;77
0.92902166;0.789;0.55233216;0.889;0.5885369;0.864;77;77;77;77
0.92546016;0.7898;0.553646;0.89;0.5926403;0.86;77;77;77;77
0.92203593;0.7902;0.55162495;0.895;0.58744943;0.866;77;77;77;77
0.9186068;0.7896;0.5544743;0.89;0.59496206;0.858;77;77;77;77
0.91512334;0.7908;0.55131054;0.896;0.5871356;0.864;77;77;77;77
0.91172785;0.7894;0.55475354;0.886;0.5966501;0.856;77;77;77;77
0.90825295;0.7914;0.55074584;0.895;0.5870891;0.863;77;77;77;77
0.90464103;0.7904;0.5532065;0.888;0.5956798;0.857;77;77;77;77
0.9005424;0.793;0.54866815;0.893;0.58685803;0.86;77;77;77;77
0.89626795;0.7922;0.5497062;0.891;0.5917329;0.859;77;77;77;77
0.891967;0.7936;0.5481265;0.892;0.5892336;0.857;77;77;77;77
0.88792247;0.7946;0.5480061;0.892;0.5892421;0.857;77;77;77;77
0.8842244;0.7946;0.55031866;0.891;0.5943765;0.857;77;77;77;77
0.8807971;0.7948;0.54897046;0.895;0.58958066;0.859;77;77;77;77
0.8777584;0.7948;0.5551115;0.885;0.6023536;0.855;77;77;77;77
0.8754051;0.7966;0.55222607;0.891;0.5904612;0.859;77;77;77;77
0.87453187;0.7948;0.5614939;0.877;0.61162275;0.849;77;77;77;77
0.8727019;0.7956;0.55091137;0.892;0.58903587;0.858;77;77;77;77
0.86839426;0.7954;0.5491152;0.887;0.5958064;0.85;77;77;77;77
0.8594543;0.7982;0.5484121;0.888;0.5949967;0.85;77;77;77;77
0.8557627;0.7984;0.54824907;0.891;0.5876388;0.859;77;77;77;77
0.85620105;0.7966;0.55411094;0.883;0.60398084;0.85;77;77;77;77
