loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
0.75493944;0.7941176;0.83945054;0.716;0.84521884;0.72;207;207;207;207
0.24778856;0.9338235;0.5377401;0.825;0.5376668;0.824;207;207;207;207
0.25902677;0.89705884;0.40278924;0.88;0.3747704;0.882;207;207;207;207
0.2401362;0.9191176;0.40522158;0.885;0.36224562;0.887;207;207;207;207
0.13134041;0.97794116;0.3833954;0.904;0.35042614;0.89;207;207;207;207
0.15858778;0.9632353;0.29937184;0.92;0.27945584;0.905;207;207;207;207
0.07368034;0.9852941;0.31210014;0.905;0.26708126;0.91;207;207;207;207
0.19166893;0.9411765;0.28709006;0.912;0.24736749;0.922;207;207;207;207
0.0950912;0.97794116;0.31277466;0.917;0.25196722;0.92;207;207;207;207
0.030229112;0.99264705;0.29115018;0.92;0.24866831;0.926;207;207;207;207
0.040743418;0.99264705;0.27908358;0.925;0.232679;0.929;207;207;207;207
0.055652183;0.9705882;0.2803222;0.92;0.2405412;0.926;207;207;207;207
0.04477642;0.9852941;0.2833199;0.931;0.24644315;0.933;207;207;207;207
0.021920292;0.99264705;0.30581278;0.92;0.24713597;0.927;207;207;207;207
0.016634945;0.99264705;0.2959902;0.933;0.27613106;0.929;207;207;207;207
0.03308132;0.9852941;0.32718137;0.923;0.27509427;0.93;207;207;207;207
0.0071250685;1.0;0.30391818;0.933;0.27071646;0.927;207;207;207;207
0.0122731235;1.0;0.33989558;0.932;0.27930665;0.928;207;207;207;207
0.0046070986;1.0;0.31968847;0.93;0.29256466;0.926;207;207;207;207
0.0021014009;1.0;0.31775063;0.931;0.2867689;0.933;207;207;207;207
0.0030642191;1.0;0.3258084;0.935;0.29222798;0.926;207;207;207;207
0.0034310753;1.0;0.35320264;0.93;0.2941874;0.928;207;207;207;207
0.0016691271;1.0;0.33695135;0.93;0.28764144;0.932;207;207;207;207
0.0025576546;1.0;0.3381039;0.931;0.28925547;0.931;207;207;207;207
