loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
30.516445;0.7205882;1.0030082;0.758;1.0274675;0.728;482;482;482;482
19.108494;0.6397059;0.95407784;0.823;0.9792925;0.797;482;482;482;482
11.92719;0.7132353;0.93995947;0.809;0.9660475;0.8;482;482;482;482
7.635349;0.6985294;0.97236264;0.791;1.0044566;0.768;482;482;482;482
5.2540045;0.7132353;0.97135216;0.826;0.988134;0.821;482;482;482;482
4.01288;0.6544118;0.92031646;0.822;0.9417724;0.81;482;482;482;482
3.2799945;0.6985294;0.91781276;0.814;0.93350905;0.812;482;482;482;482
2.8704154;0.72794116;0.91564554;0.809;0.93620604;0.789;482;482;482;482
2.5922024;0.75735295;0.8801089;0.82;0.89657867;0.808;482;482;482;482
2.6092901;0.7132353;0.8800234;0.815;0.9055896;0.799;482;482;482;482
2.348298;0.74264705;0.8437505;0.831;0.8517648;0.828;482;482;482;482
2.3177934;0.7132353;0.8149754;0.819;0.82518315;0.827;482;482;482;482
2.2217462;0.6985294;0.80927765;0.834;0.8255065;0.816;482;482;482;482
2.1292286;0.72794116;0.8073933;0.823;0.8278831;0.818;482;482;482;482
2.1926515;0.75735295;0.77797747;0.845;0.7917444;0.837;482;482;482;482
1.9890423;0.7352941;0.7782405;0.836;0.7921351;0.843;482;482;482;482
2.0490556;0.72794116;0.7806055;0.837;0.7835919;0.833;482;482;482;482
2.0157301;0.72794116;0.7636498;0.846;0.7811122;0.834;482;482;482;482
1.9531451;0.7867647;0.7486712;0.853;0.77118653;0.836;482;482;482;482
2.0060453;0.72794116;0.74938536;0.85;0.7700268;0.833;482;482;482;482
2.1467032;0.6911765;0.74000347;0.848;0.76205224;0.842;482;482;482;482
1.988416;0.7058824;0.72907627;0.859;0.7378534;0.85;482;482;482;482
1.9995049;0.6911765;0.72691184;0.861;0.7346424;0.849;482;482;482;482
1.673811;0.8161765;0.7188028;0.853;0.73036486;0.848;482;482;482;482
1.9673493;0.72794116;0.7194475;0.859;0.73835975;0.837;482;482;482;482
1.9810325;0.7205882;0.7041356;0.872;0.7144359;0.852;482;482;482;482
1.7349002;0.77205884;0.7039094;0.863;0.70649385;0.855;482;482;482;482
1.796529;0.7647059;0.69690835;0.856;0.70630574;0.851;482;482;482;482
1.7748287;0.77205884;0.7077916;0.86;0.70969826;0.856;482;482;482;482
1.6877314;0.8161765;0.6895011;0.862;0.69742423;0.86;482;482;482;482
1.7366221;0.75735295;0.7053629;0.858;0.7182391;0.847;482;482;482;482
1.8798876;0.7058824;0.6812028;0.868;0.6935398;0.856;482;482;482;482
1.7310746;0.75;0.68848974;0.861;0.6964936;0.859;482;482;482;482
1.8652647;0.7205882;0.6826632;0.864;0.6931887;0.854;482;482;482;482
1.8571036;0.7205882;0.6813879;0.863;0.6857041;0.861;482;482;482;482
1.7262261;0.7794118;0.67648524;0.865;0.6896072;0.858;482;482;482;482
1.790272;0.6911765;0.6836638;0.873;0.6868837;0.856;482;482;482;482
1.7116473;0.7794118;0.66204137;0.873;0.6712703;0.857;482;482;482;482
1.7589381;0.7794118;0.66217154;0.866;0.6676129;0.862;482;482;482;482
1.8461924;0.7205882;0.6610596;0.872;0.6658417;0.859;482;482;482;482
1.7048335;0.74264705;0.6635767;0.868;0.6682945;0.862;482;482;482;482
1.7922646;0.75;0.65723765;0.868;0.6646189;0.859;482;482;482;482
1.689966;0.75;0.66192895;0.871;0.66592467;0.865;482;482;482;482
1.6376746;0.75;0.66665846;0.872;0.6615147;0.863;482;482;482;482
1.489767;0.8161765;0.6567097;0.874;0.65274924;0.866;482;482;482;482
1.7166781;0.77205884;0.6633327;0.868;0.66369116;0.856;482;482;482;482
1.6302519;0.7941176;0.648382;0.874;0.65030384;0.862;482;482;482;482
1.7576716;0.7205882;0.6566779;0.876;0.6618593;0.858;482;482;482;482
1.6519704;0.7647059;0.6396018;0.873;0.6453949;0.858;482;482;482;482
1.5678929;0.7794118;0.6475786;0.877;0.65470284;0.861;482;482;482;482
1.6627133;0.7352941;0.6424687;0.877;0.64576524;0.861;482;482;482;482
1.6195053;0.7647059;0.6408837;0.874;0.6386107;0.861;482;482;482;482
1.3999788;0.8235294;0.6421536;0.869;0.639972;0.859;482;482;482;482
1.7670618;0.72794116;0.64441174;0.881;0.6433038;0.862;482;482;482;482
1.649313;0.74264705;0.6455979;0.864;0.6387926;0.864;482;482;482;482
1.6468172;0.7647059;0.637192;0.882;0.64279795;0.854;482;482;482;482
1.673912;0.75;0.63235754;0.876;0.6373907;0.862;482;482;482;482
1.6421556;0.77205884;0.6322984;0.876;0.632719;0.859;482;482;482;482
1.5548491;0.7647059;0.6245428;0.881;0.6303663;0.859;482;482;482;482
1.5430701;0.8088235;0.62839365;0.88;0.62955016;0.86;482;482;482;482
1.4329641;0.8088235;0.6382971;0.87;0.6290408;0.863;482;482;482;482
1.5880578;0.7794118;0.6211519;0.876;0.6217031;0.865;482;482;482;482
1.5322188;0.7794118;0.6258071;0.874;0.63415235;0.853;482;482;482;482
1.4156885;0.8014706;0.63041997;0.877;0.6233625;0.863;482;482;482;482
1.43203;0.8088235;0.62156266;0.878;0.63022333;0.859;482;482;482;482
1.6893461;0.75;0.629641;0.864;0.637541;0.858;482;482;482;482
1.4738841;0.7941176;0.6247664;0.874;0.61958665;0.865;482;482;482;482
1.5792446;0.75;0.62065566;0.875;0.6201465;0.862;482;482;482;482
1.7066265;0.75;0.6149182;0.877;0.61880356;0.855;482;482;482;482
1.6486721;0.7352941;0.6273467;0.87;0.6233544;0.862;482;482;482;482
1.5488636;0.7647059;0.6156949;0.879;0.61263376;0.861;482;482;482;482
1.4669117;0.7941176;0.6398092;0.867;0.6270049;0.859;482;482;482;482
1.765141;0.7058824;0.6123436;0.87;0.6164591;0.857;482;482;482;482
1.5335023;0.7867647;0.6143725;0.87;0.6108692;0.859;482;482;482;482
1.5607541;0.75735295;0.61931264;0.875;0.6155114;0.86;482;482;482;482
1.5731542;0.72794116;0.6074672;0.873;0.6105845;0.857;482;482;482;482
1.6845405;0.74264705;0.6171334;0.872;0.6082299;0.864;482;482;482;482
