loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
93.01826;0.14705883;2.3003097;0.154;2.2993944;0.127;237;237;237;237
51.2576;0.20588236;2.3019521;0.109;2.3007364;0.087;237;237;237;237
26.53285;0.10294118;2.3024824;0.104;2.3012452;0.087;237;237;237;237
13.391133;0.09558824;2.3025243;0.104;2.30129;0.087;237;237;237;237
7.1065025;0.066176474;2.302502;0.104;2.3012946;0.087;237;237;237;237
4.3781257;0.11029412;2.3025167;0.089;2.3011093;0.11;237;237;237;237
3.3127532;0.09558824;2.3025513;0.089;2.3009052;0.11;237;237;237;237
2.9306798;0.05882353;2.3025582;0.089;2.3007414;0.11;237;237;237;237
2.798119;0.080882356;2.3025475;0.107;2.3005424;0.126;237;237;237;237
2.7667463;0.11764706;2.3025746;0.107;2.3003745;0.126;237;237;237;237
2.7562165;0.13235295;2.3026042;0.107;2.3002656;0.126;237;237;237;237
2.7502918;0.10294118;2.3026187;0.107;2.3001475;0.126;237;237;237;237
2.7452033;0.14705883;2.3026495;0.107;2.3000815;0.126;237;237;237;237
2.745757;0.11029412;2.302716;0.107;2.2999668;0.126;237;237;237;237
2.7418513;0.11764706;2.3027635;0.107;2.299938;0.126;237;237;237;237
2.7454114;0.125;2.3028193;0.107;2.2998843;0.126;237;237;237;237
2.7373695;0.13970588;2.3028555;0.107;2.2998853;0.126;237;237;237;237
2.7430825;0.11764706;2.3029299;0.107;2.2998476;0.126;237;237;237;237
2.7425437;0.14705883;2.3029685;0.107;2.299812;0.126;237;237;237;237
2.7468176;0.125;2.30303;0.107;2.2997704;0.126;237;237;237;237
2.737842;0.13235295;2.303105;0.107;2.2998054;0.126;237;237;237;237
2.747022;0.11764706;2.3031163;0.107;2.2997584;0.126;237;237;237;237
2.7322283;0.14705883;2.3031309;0.107;2.2997906;0.126;237;237;237;237
2.7529309;0.10294118;2.3032165;0.107;2.2997296;0.126;237;237;237;237
2.750759;0.11764706;2.3031783;0.107;2.2997575;0.126;237;237;237;237
2.7363534;0.11764706;2.3031979;0.107;2.2996495;0.126;237;237;237;237
2.7371087;0.10294118;2.3032417;0.107;2.299669;0.126;237;237;237;237
2.748309;0.0882353;2.3032544;0.107;2.2996724;0.126;237;237;237;237
2.7359285;0.11029412;2.3032808;0.107;2.2996564;0.126;237;237;237;237
2.7355113;0.13970588;2.303301;0.107;2.2996771;0.126;237;237;237;237
2.732708;0.14705883;2.3033252;0.107;2.2996676;0.126;237;237;237;237
2.729028;0.13235295;2.3033457;0.107;2.2996352;0.126;237;237;237;237
2.7419326;0.11764706;2.303354;0.107;2.2997134;0.126;237;237;237;237
2.7474463;0.073529415;2.3033822;0.107;2.2997096;0.126;237;237;237;237
2.74076;0.080882356;2.3033419;0.107;2.2997558;0.126;237;237;237;237
2.738187;0.125;2.3033812;0.107;2.2997026;0.126;237;237;237;237
2.7289662;0.16176471;2.3033657;0.107;2.299736;0.126;237;237;237;237
2.735454;0.13235295;2.3033822;0.107;2.2996922;0.126;237;237;237;237
2.737024;0.09558824;2.3034062;0.107;2.299672;0.126;237;237;237;237
