loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
27.722721;0.5588235;1.080249;0.708;1.1195228;0.677;467;467;467;467
17.399452;0.7132353;0.95840365;0.831;0.9852355;0.82;467;467;467;467
10.863589;0.72794116;0.915587;0.841;0.93201375;0.842;467;467;467;467
7.0962825;0.6838235;0.9253939;0.807;0.9371282;0.823;467;467;467;467
4.9431863;0.6985294;0.9355272;0.805;0.95072794;0.809;467;467;467;467
4.042219;0.64705884;0.91157794;0.825;0.92684335;0.845;467;467;467;467
3.239772;0.7205882;0.8868129;0.826;0.9135669;0.835;467;467;467;467
2.9945736;0.6764706;0.87793106;0.833;0.89926183;0.82;467;467;467;467
2.5943031;0.75735295;0.8781722;0.824;0.89967144;0.813;467;467;467;467
2.6422637;0.6764706;0.84194726;0.834;0.8549291;0.832;467;467;467;467
2.4155116;0.7205882;0.8262173;0.84;0.8388971;0.85;467;467;467;467
2.2712154;0.7647059;0.80647653;0.846;0.8251881;0.847;467;467;467;467
2.0948386;0.8014706;0.79621446;0.841;0.8113344;0.858;467;467;467;467
2.0990405;0.77205884;0.79234475;0.836;0.80371875;0.833;467;467;467;467
2.1167777;0.6985294;0.7805983;0.845;0.7925238;0.857;467;467;467;467
1.9952612;0.72794116;0.76485586;0.853;0.7720991;0.857;467;467;467;467
1.9646674;0.77205884;0.7749326;0.843;0.79320985;0.839;467;467;467;467
2.0147781;0.75;0.76624376;0.838;0.7619403;0.855;467;467;467;467
1.9912503;0.7132353;0.74382955;0.854;0.7611126;0.846;467;467;467;467
1.9199401;0.7352941;0.7370514;0.859;0.7457852;0.849;467;467;467;467
1.8381748;0.7794118;0.72842747;0.861;0.74155146;0.858;467;467;467;467
1.943254;0.75;0.75497997;0.842;0.79050696;0.818;467;467;467;467
1.7310601;0.8014706;0.7208987;0.859;0.73252255;0.858;467;467;467;467
1.6932511;0.8014706;0.73119545;0.856;0.7443204;0.852;467;467;467;467
2.0840092;0.6985294;0.7066061;0.851;0.7191471;0.85;467;467;467;467
1.7048094;0.7794118;0.7121842;0.859;0.73233974;0.845;467;467;467;467
1.5781647;0.8602941;0.695347;0.864;0.7006904;0.858;467;467;467;467
1.7859564;0.75;0.6930348;0.862;0.70722675;0.861;467;467;467;467
1.6175308;0.7941176;0.6824503;0.859;0.69271505;0.859;467;467;467;467
1.92383;0.6985294;0.6842118;0.863;0.69551694;0.858;467;467;467;467
1.6071773;0.8235294;0.7192184;0.85;0.73979855;0.832;467;467;467;467
1.7078986;0.7867647;0.6843876;0.864;0.6884498;0.855;467;467;467;467
1.7049849;0.7647059;0.6872655;0.863;0.69265443;0.86;467;467;467;467
1.7476046;0.75;0.66995066;0.865;0.6697204;0.865;467;467;467;467
1.584513;0.8088235;0.6690394;0.868;0.67757577;0.867;467;467;467;467
1.6118531;0.7867647;0.6720911;0.858;0.66040844;0.867;467;467;467;467
1.6487095;0.7794118;0.66330135;0.873;0.66921544;0.866;467;467;467;467
1.7681572;0.74264705;0.65858674;0.873;0.66113526;0.865;467;467;467;467
1.6018789;0.7867647;0.667846;0.862;0.6776493;0.856;467;467;467;467
1.6918372;0.72794116;0.658393;0.872;0.66509223;0.856;467;467;467;467
1.7116497;0.75735295;0.65486413;0.869;0.6524662;0.872;467;467;467;467
1.5760621;0.7867647;0.66030115;0.867;0.65566015;0.869;467;467;467;467
1.6605964;0.7794118;0.65434843;0.866;0.6470266;0.862;467;467;467;467
1.6740128;0.7352941;0.6633648;0.866;0.66483504;0.858;467;467;467;467
1.5843668;0.7867647;0.6549796;0.862;0.660994;0.86;467;467;467;467
1.4093366;0.8308824;0.6403617;0.875;0.6464849;0.865;467;467;467;467
1.87972;0.7132353;0.63587695;0.87;0.6373878;0.871;467;467;467;467
1.5624756;0.8235294;0.6434908;0.875;0.63219965;0.879;467;467;467;467
1.8024212;0.6985294;0.6418866;0.867;0.64501584;0.869;467;467;467;467
1.5868287;0.7794118;0.6443103;0.871;0.6402487;0.873;467;467;467;467
1.591787;0.8014706;0.63792515;0.868;0.6317453;0.873;467;467;467;467
1.699017;0.7647059;0.63729763;0.87;0.634656;0.873;467;467;467;467
1.5590699;0.7647059;0.63438475;0.876;0.6347275;0.869;467;467;467;467
1.4907565;0.8014706;0.6417884;0.866;0.64934826;0.857;467;467;467;467
1.6953692;0.7058824;0.6354319;0.87;0.6291797;0.875;467;467;467;467
1.3731067;0.8161765;0.635817;0.873;0.6374025;0.872;467;467;467;467
1.6835067;0.7352941;0.62675667;0.872;0.62993807;0.87;467;467;467;467
1.4452438;0.8014706;0.6322155;0.874;0.62311965;0.879;467;467;467;467
1.5141048;0.7941176;0.62384933;0.878;0.61611766;0.876;467;467;467;467
1.4138107;0.8308824;0.6248376;0.871;0.62607723;0.868;467;467;467;467
1.6477811;0.74264705;0.6285661;0.876;0.62530714;0.863;467;467;467;467
1.6171924;0.7352941;0.6231793;0.872;0.6272521;0.868;467;467;467;467
1.6245352;0.74264705;0.6254797;0.866;0.61313075;0.876;467;467;467;467
1.3653951;0.8014706;0.6320878;0.869;0.63620204;0.864;467;467;467;467
1.3603626;0.8161765;0.6215006;0.871;0.6262839;0.865;467;467;467;467
1.3900628;0.8235294;0.62182987;0.87;0.62052035;0.871;467;467;467;467
1.7908603;0.6985294;0.6190309;0.87;0.6136689;0.871;467;467;467;467
1.527453;0.7794118;0.6293112;0.87;0.6360699;0.869;467;467;467;467
1.4158633;0.7941176;0.6212114;0.876;0.6164717;0.871;467;467;467;467
1.3833435;0.8308824;0.61350644;0.869;0.6093787;0.869;467;467;467;467
1.3278368;0.8308824;0.615015;0.867;0.6103168;0.872;467;467;467;467
1.4226539;0.7867647;0.62438095;0.863;0.62176293;0.867;467;467;467;467
1.4404575;0.8161765;0.61345047;0.87;0.61482835;0.873;467;467;467;467
1.4600177;0.7794118;0.61366165;0.871;0.60671204;0.871;467;467;467;467
1.6661884;0.72794116;0.621556;0.87;0.61072326;0.869;467;467;467;467
1.311219;0.8161765;0.6230123;0.866;0.631581;0.856;467;467;467;467
1.3650675;0.8088235;0.6129515;0.869;0.6150917;0.867;467;467;467;467
1.5267944;0.77205884;0.6041688;0.871;0.6112834;0.868;467;467;467;467
1.5208857;0.7647059;0.6167118;0.865;0.61214656;0.88;467;467;467;467
1.5521497;0.74264705;0.6129459;0.867;0.61604637;0.87;467;467;467;467
1.4114679;0.77205884;0.6131091;0.874;0.6127771;0.87;467;467;467;467
1.2711681;0.85294116;0.6327072;0.861;0.64833546;0.853;467;467;467;467
1.5237484;0.7867647;0.61235285;0.871;0.60909927;0.873;467;467;467;467
1.2698658;0.85294116;0.6110692;0.868;0.61149603;0.86;467;467;467;467
1.567327;0.75;0.6045277;0.873;0.599597;0.875;467;467;467;467
1.4871063;0.7941176;0.60274327;0.873;0.6031105;0.871;467;467;467;467
1.3661854;0.8161765;0.6040436;0.871;0.59765047;0.874;467;467;467;467
1.4039279;0.8308824;0.6070841;0.867;0.6068617;0.861;467;467;467;467
1.4466183;0.77205884;0.60473543;0.87;0.6054632;0.871;467;467;467;467
1.3715235;0.8088235;0.60891724;0.866;0.60593784;0.866;467;467;467;467
1.4650693;0.8088235;0.60560364;0.866;0.6086128;0.87;467;467;467;467
1.5565732;0.75735295;0.60318476;0.866;0.6115754;0.862;467;467;467;467
1.4976782;0.7647059;0.6070746;0.867;0.6072764;0.868;467;467;467;467
1.4531353;0.7647059;0.6150251;0.867;0.60643536;0.869;467;467;467;467
1.6257808;0.74264705;0.6061066;0.868;0.60701126;0.863;467;467;467;467
1.402791;0.7867647;0.60839635;0.863;0.60765684;0.865;467;467;467;467
1.290384;0.8455882;0.5968877;0.879;0.59798634;0.872;467;467;467;467
1.4853969;0.7647059;0.61225617;0.87;0.6037372;0.868;467;467;467;467
1.4344839;0.8014706;0.6005018;0.867;0.5916783;0.877;467;467;467;467
1.3243879;0.7941176;0.60579544;0.87;0.60019237;0.876;467;467;467;467
1.3203492;0.8235294;0.60274285;0.868;0.60282815;0.865;467;467;467;467
1.2567177;0.8088235;0.60764366;0.863;0.60222703;0.87;467;467;467;467
1.4732604;0.7941176;0.6002628;0.87;0.6010648;0.867;467;467;467;467
1.4041172;0.7794118;0.60827917;0.864;0.60216504;0.872;467;467;467;467
1.4267642;0.8088235;0.61453456;0.858;0.62670213;0.855;467;467;467;467
1.3404518;0.7867647;0.60625625;0.862;0.60877;0.863;467;467;467;467
1.5737253;0.74264705;0.60860896;0.864;0.6034358;0.868;467;467;467;467
1.392215;0.8014706;0.6025042;0.867;0.59412354;0.872;467;467;467;467
1.3306987;0.8235294;0.6017242;0.865;0.5962634;0.864;467;467;467;467
1.0661768;0.875;0.60786206;0.862;0.60416454;0.864;467;467;467;467
1.2545615;0.8455882;0.6037931;0.865;0.6066063;0.865;467;467;467;467
1.3136091;0.8382353;0.620573;0.852;0.6235266;0.851;467;467;467;467
1.3293219;0.8014706;0.6017581;0.861;0.59394646;0.865;467;467;467;467
1.3759005;0.8014706;0.6064036;0.869;0.5970083;0.868;467;467;467;467
1.3957083;0.77205884;0.60215974;0.864;0.6051271;0.861;467;467;467;467
1.361182;0.7941176;0.60276693;0.861;0.5946478;0.865;467;467;467;467
1.2746973;0.8161765;0.6049634;0.866;0.61036104;0.862;467;467;467;467
1.3427184;0.8235294;0.6194921;0.856;0.6049101;0.864;467;467;467;467
1.3471837;0.8088235;0.6014878;0.864;0.59656024;0.866;467;467;467;467
1.2150575;0.85294116;0.6113907;0.854;0.6174344;0.862;467;467;467;467
1.4214851;0.75735295;0.5968652;0.861;0.58915687;0.869;467;467;467;467
1.4326673;0.77205884;0.6000534;0.863;0.6005715;0.864;467;467;467;467
1.2969233;0.8308824;0.59991676;0.869;0.5899566;0.87;467;467;467;467
1.4785964;0.77205884;0.6159043;0.857;0.60465413;0.855;467;467;467;467
1.2783153;0.8382353;0.6068314;0.862;0.60224295;0.866;467;467;467;467
1.3426929;0.8088235;0.59570473;0.861;0.5887728;0.868;467;467;467;467
1.3725406;0.77205884;0.5995482;0.868;0.59642035;0.863;467;467;467;467
