loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
245.16264;0.13235295;2.297151;0.111;2.2937982;0.118;462;462;462;462
133.456;0.125;2.3017101;0.106;2.2991006;0.099;462;462;462;462
66.41018;0.11764706;2.3030596;0.106;2.3006923;0.099;462;462;462;462
30.864365;0.0882353;2.3031166;0.106;2.300909;0.099;462;462;462;462
14.157247;0.066176474;2.303;0.106;2.300813;0.099;462;462;462;462
7.247382;0.09558824;2.3030193;0.106;2.3007543;0.099;462;462;462;462
4.7139196;0.13235295;2.303039;0.106;2.30057;0.099;462;462;462;462
3.8763342;0.13235295;2.3030932;0.106;2.3004844;0.099;462;462;462;462
3.6385164;0.09558824;2.3031626;0.106;2.30043;0.099;462;462;462;462
3.5708306;0.11764706;2.30324;0.106;2.300307;0.099;462;462;462;462
3.5573816;0.1764706;2.303334;0.106;2.3001966;0.099;462;462;462;462
3.547393;0.11764706;2.3034122;0.106;2.3002176;0.099;462;462;462;462
3.5509727;0.10294118;2.3034708;0.107;2.3001463;0.126;462;462;462;462
3.541695;0.13970588;2.303532;0.107;2.300107;0.126;462;462;462;462
3.5460124;0.13235295;2.3035865;0.107;2.3000646;0.126;462;462;462;462
3.5597684;0.11029412;2.3036091;0.107;2.3000379;0.126;462;462;462;462
3.5457149;0.10294118;2.303647;0.107;2.3000574;0.126;462;462;462;462
3.550353;0.09558824;2.3037157;0.107;2.30002;0.126;462;462;462;462
3.5416274;0.11764706;2.30375;0.107;2.3000402;0.126;462;462;462;462
3.5453434;0.09558824;2.3038137;0.107;2.300028;0.126;462;462;462;462
3.5443008;0.11029412;2.3038757;0.107;2.2999837;0.126;462;462;462;462
3.551897;0.14705883;2.303916;0.107;2.2999592;0.126;462;462;462;462
3.5388076;0.16176471;2.3039472;0.107;2.2999482;0.126;462;462;462;462
3.551961;0.11764706;2.3039598;0.107;2.299957;0.126;462;462;462;462
3.5593033;0.10294118;2.3040245;0.107;2.2999337;0.126;462;462;462;462
3.555985;0.09558824;2.3040338;0.107;2.2998588;0.126;462;462;462;462
3.5358572;0.14705883;2.3040311;0.107;2.2999024;0.126;462;462;462;462
3.5448885;0.11029412;2.3040726;0.107;2.299883;0.126;462;462;462;462
3.551023;0.080882356;2.3040981;0.107;2.299883;0.126;462;462;462;462
3.5529537;0.11764706;2.304096;0.107;2.299904;0.126;462;462;462;462
3.5443158;0.13970588;2.3041148;0.107;2.2998698;0.126;462;462;462;462
3.5593219;0.11764706;2.3041096;0.107;2.299939;0.126;462;462;462;462
3.549777;0.14705883;2.304115;0.107;2.299916;0.126;462;462;462;462
3.556579;0.11764706;2.3041112;0.107;2.299849;0.126;462;462;462;462
3.5422378;0.125;2.304103;0.107;2.2998493;0.126;462;462;462;462
3.5511124;0.09558824;2.3041341;0.107;2.2998333;0.126;462;462;462;462
3.5483234;0.0882353;2.3041556;0.107;2.299852;0.126;462;462;462;462
3.565189;0.04411765;2.3041508;0.107;2.299918;0.126;462;462;462;462
3.5471947;0.080882356;2.3041692;0.107;2.299872;0.126;462;462;462;462
3.5667567;0.09558824;2.3041399;0.107;2.2998588;0.126;462;462;462;462
3.5512738;0.125;2.304138;0.107;2.2999074;0.126;462;462;462;462
3.5495281;0.13235295;2.3041267;0.107;2.2998886;0.126;462;462;462;462
3.5504847;0.15441176;2.3041224;0.107;2.2999215;0.126;462;462;462;462
3.543684;0.13235295;2.3040981;0.107;2.2999341;0.126;462;462;462;462
3.544766;0.19117647;2.3041112;0.107;2.2999253;0.126;462;462;462;462
3.561855;0.125;2.3041565;0.107;2.2998796;0.126;462;462;462;462
3.548421;0.10294118;2.304127;0.107;2.2998998;0.126;462;462;462;462
3.5510855;0.11029412;2.3041358;0.107;2.2999039;0.126;462;462;462;462
3.5547755;0.13970588;2.3041248;0.107;2.2998981;0.126;462;462;462;462
3.5452547;0.14705883;2.3041563;0.107;2.2998288;0.126;462;462;462;462
3.5418282;0.13970588;2.3041644;0.107;2.2997878;0.126;462;462;462;462
3.553409;0.10294118;2.304146;0.107;2.2998285;0.126;462;462;462;462
3.5380077;0.13235295;2.304173;0.107;2.2997963;0.126;462;462;462;462
3.550697;0.0882353;2.3042204;0.107;2.2998395;0.126;462;462;462;462
3.5634584;0.080882356;2.3042364;0.107;2.2998788;0.126;462;462;462;462
3.5651784;0.080882356;2.304186;0.107;2.2999048;0.126;462;462;462;462
3.5446038;0.13970588;2.3041787;0.107;2.2998626;0.126;462;462;462;462
3.545402;0.10294118;2.3041763;0.107;2.299867;0.126;462;462;462;462
3.544656;0.0882353;2.3042138;0.107;2.299888;0.126;462;462;462;462
3.5478754;0.15441176;2.3042626;0.107;2.2998807;0.126;462;462;462;462
3.5454407;0.125;2.304269;0.107;2.2998688;0.126;462;462;462;462
3.54592;0.080882356;2.3042555;0.107;2.2998881;0.126;462;462;462;462
3.537961;0.11764706;2.3042624;0.107;2.29988;0.126;462;462;462;462
3.5646358;0.11029412;2.3042884;0.107;2.2998617;0.126;462;462;462;462
3.5427103;0.14705883;2.3042743;0.107;2.299901;0.126;462;462;462;462
3.5551786;0.11029412;2.3042614;0.107;2.299862;0.126;462;462;462;462
3.5640907;0.13235295;2.3042853;0.107;2.2998521;0.126;462;462;462;462
3.5597374;0.09558824;2.304238;0.107;2.2998183;0.126;462;462;462;462
3.5547;0.0882353;2.3042345;0.107;2.2998748;0.126;462;462;462;462
3.5502477;0.125;2.3041763;0.107;2.2998588;0.126;462;462;462;462
3.547185;0.11764706;2.3042083;0.107;2.2998033;0.126;462;462;462;462
3.5487318;0.09558824;2.3041658;0.107;2.2998316;0.126;462;462;462;462
3.5447297;0.11764706;2.3041987;0.107;2.2998452;0.126;462;462;462;462
3.5391803;0.13970588;2.3041785;0.107;2.2998059;0.126;462;462;462;462
3.5437546;0.125;2.304265;0.107;2.299796;0.126;462;462;462;462
3.5538385;0.09558824;2.3042502;0.107;2.2997878;0.126;462;462;462;462
3.549969;0.11029412;2.3042595;0.107;2.2998037;0.126;462;462;462;462
3.5551207;0.05882353;2.3042455;0.107;2.2998152;0.126;462;462;462;462
3.5488698;0.11764706;2.3042343;0.107;2.2998188;0.126;462;462;462;462
3.554114;0.09558824;2.3042479;0.107;2.2998247;0.126;462;462;462;462
3.5423596;0.13235295;2.3042161;0.107;2.2998977;0.126;462;462;462;462
3.5510654;0.13235295;2.3042479;0.107;2.2998588;0.126;462;462;462;462
3.5433683;0.11764706;2.3042555;0.107;2.2998273;0.126;462;462;462;462
3.5573602;0.05882353;2.3042295;0.107;2.299891;0.126;462;462;462;462
3.5487278;0.125;2.3042235;0.107;2.2999249;0.126;462;462;462;462
3.5541039;0.0882353;2.3042269;0.107;2.2999327;0.126;462;462;462;462
3.5438137;0.13970588;2.3042486;0.107;2.2999249;0.126;462;462;462;462
3.550705;0.13970588;2.3041997;0.107;2.2998796;0.126;462;462;462;462
3.5445986;0.125;2.3041906;0.107;2.2998822;0.126;462;462;462;462
3.5530255;0.13235295;2.3042097;0.107;2.299918;0.126;462;462;462;462
3.546513;0.13235295;2.3042026;0.107;2.299927;0.126;462;462;462;462
3.5470357;0.10294118;2.3042185;0.107;2.2999008;0.126;462;462;462;462
3.551071;0.0882353;2.3042169;0.107;2.299906;0.126;462;462;462;462
3.5684357;0.13235295;2.304194;0.107;2.2999542;0.126;462;462;462;462
3.5460463;0.11029412;2.304173;0.107;2.299925;0.126;462;462;462;462
3.5449274;0.19117647;2.3041565;0.107;2.2999587;0.126;462;462;462;462
3.5603037;0.080882356;2.3041723;0.107;2.2999146;0.126;462;462;462;462
3.5323062;0.1764706;2.3041382;0.107;2.2999067;0.126;462;462;462;462
3.5494022;0.0882353;2.3041828;0.107;2.2998934;0.126;462;462;462;462
3.5541658;0.11029412;2.3042173;0.107;2.2998586;0.126;462;462;462;462
