loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
4.2266674;0.6544118;0.8658375;0.768;0.90792185;0.754;348;348;348;348
2.9040618;0.8014706;0.69151396;0.839;0.7184358;0.85;348;348;348;348
2.6158683;0.7867647;0.6214788;0.869;0.6441217;0.875;348;348;348;348
2.4333644;0.74264705;0.5660687;0.893;0.58454263;0.88;348;348;348;348
2.2495337;0.7205882;0.5558084;0.906;0.5694154;0.887;348;348;348;348
1.8862574;0.7647059;0.56780267;0.902;0.567078;0.895;348;348;348;348
1.8957429;0.75735295;0.53085846;0.908;0.5421525;0.898;348;348;348;348
1.6663034;0.7867647;0.53787774;0.914;0.5554221;0.905;348;348;348;348
1.606687;0.77205884;0.5434276;0.894;0.54779947;0.895;348;348;348;348
1.634676;0.77205884;0.5289122;0.903;0.53931797;0.91;348;348;348;348
1.3214896;0.8308824;0.50468004;0.905;0.5119465;0.913;348;348;348;348
1.5379286;0.7647059;0.53524476;0.887;0.54372513;0.893;348;348;348;348
1.3701146;0.7941176;0.50471467;0.893;0.5255764;0.884;348;348;348;348
1.5514193;0.72794116;0.52247465;0.891;0.5208138;0.883;348;348;348;348
1.2519479;0.8308824;0.49796712;0.904;0.5202003;0.897;348;348;348;348
1.0404938;0.88235295;0.4734422;0.896;0.48469844;0.899;348;348;348;348
1.1284534;0.8602941;0.57374704;0.857;0.57883626;0.861;348;348;348;348
1.2327448;0.7941176;0.48725012;0.895;0.49969468;0.899;348;348;348;348
1.1972035;0.8088235;0.50540495;0.887;0.54302055;0.871;348;348;348;348
1.0853477;0.8382353;0.6032358;0.866;0.597442;0.857;348;348;348;348
1.1351712;0.8014706;0.51500463;0.871;0.49654776;0.894;348;348;348;348
1.1976609;0.8235294;0.524996;0.878;0.5524545;0.861;348;348;348;348
1.1125454;0.8235294;0.54582846;0.851;0.5630949;0.854;348;348;348;348
1.0637357;0.8455882;0.630283;0.83;0.6451237;0.827;348;348;348;348
0.93885773;0.88235295;0.5890939;0.828;0.5964401;0.823;348;348;348;348
1.1008567;0.8161765;0.5062932;0.865;0.5502888;0.852;348;348;348;348
1.0598;0.8455882;0.55146253;0.86;0.5991789;0.835;348;348;348;348
0.9106749;0.875;0.60305864;0.834;0.6594496;0.818;348;348;348;348
0.852998;0.9338235;0.54934525;0.847;0.5833213;0.839;348;348;348;348
0.9241309;0.875;0.57355034;0.834;0.6034395;0.842;348;348;348;348
0.86481404;0.9117647;0.6096236;0.826;0.6071654;0.825;348;348;348;348
0.76923835;0.9264706;0.5748252;0.838;0.5841054;0.848;348;348;348;348
0.8070716;0.9191176;0.7157763;0.791;0.72167605;0.787;348;348;348;348
0.9382261;0.8897059;0.6096002;0.814;0.62498105;0.814;348;348;348;348
0.87715816;0.8897059;0.6523716;0.803;0.7105346;0.793;348;348;348;348
0.91403514;0.875;0.6066484;0.816;0.64160687;0.797;348;348;348;348
0.7776973;0.9411765;0.61866283;0.822;0.6414704;0.803;348;348;348;348
0.7164632;0.9705882;0.6333244;0.817;0.626084;0.804;348;348;348;348
0.79556185;0.9264706;0.73220855;0.784;0.708618;0.779;348;348;348;348
0.7488102;0.9411765;0.5904687;0.831;0.6573018;0.815;348;348;348;348
0.7518521;0.9485294;0.6456089;0.817;0.70241296;0.802;348;348;348;348
0.7326208;0.9338235;0.61678016;0.82;0.6132758;0.824;348;348;348;348
0.70765746;0.9632353;0.59771395;0.838;0.59816176;0.823;348;348;348;348
0.70139474;0.9485294;0.6583291;0.811;0.64025015;0.801;348;348;348;348
0.6885538;0.9632353;0.65269023;0.81;0.6558322;0.798;348;348;348;348
0.76221156;0.9044118;0.5584345;0.838;0.587446;0.831;348;348;348;348
0.71525043;0.9558824;0.6474107;0.807;0.64163554;0.802;348;348;348;348
0.68241256;0.9632353;0.58368504;0.825;0.64229465;0.807;348;348;348;348
0.6025405;0.9852941;0.5661003;0.833;0.6038131;0.818;348;348;348;348
0.6422136;0.97794116;0.62155795;0.833;0.6179549;0.815;348;348;348;348
0.6376183;0.9705882;0.63154054;0.811;0.6498381;0.798;348;348;348;348
0.81103545;0.9044118;0.6229474;0.818;0.69318384;0.779;348;348;348;348
0.6656316;0.9632353;0.6049195;0.829;0.6182673;0.797;348;348;348;348
0.6574379;0.9705882;0.63419795;0.821;0.65076584;0.801;348;348;348;348
0.6952757;0.9485294;0.6592019;0.819;0.69946283;0.797;348;348;348;348
0.62866294;0.97794116;0.66564375;0.805;0.68413264;0.798;348;348;348;348
0.63648206;0.9632353;0.66698277;0.805;0.6961702;0.788;348;348;348;348
0.58521163;0.99264705;0.59598106;0.83;0.6304525;0.801;348;348;348;348
0.5828962;1.0;0.6306817;0.823;0.66686404;0.805;348;348;348;348
0.6190418;0.9705882;0.6140269;0.824;0.6568939;0.797;348;348;348;348
0.5591707;0.99264705;0.59990615;0.83;0.61112326;0.816;348;348;348;348
0.72480214;0.9264706;0.5868523;0.836;0.6229736;0.804;348;348;348;348
0.61459893;0.9852941;0.643784;0.819;0.67404616;0.789;348;348;348;348
0.6177654;0.9558824;0.5935444;0.83;0.6505092;0.803;348;348;348;348
0.61205316;0.9558824;0.61425173;0.835;0.6544518;0.803;348;348;348;348
0.6023389;0.9632353;0.6242327;0.809;0.69410956;0.789;348;348;348;348
0.57785374;0.97794116;0.5960645;0.826;0.6203536;0.816;348;348;348;348
0.58902925;0.99264705;0.6272236;0.83;0.66427505;0.794;348;348;348;348
0.5621327;0.99264705;0.60542005;0.822;0.6373958;0.806;348;348;348;348
0.55069345;0.99264705;0.5779069;0.834;0.6367256;0.812;348;348;348;348
0.56516755;0.99264705;0.6203811;0.811;0.6581659;0.791;348;348;348;348
0.5484126;0.99264705;0.6617061;0.81;0.6677293;0.799;348;348;348;348
0.60332656;0.9705882;0.68108624;0.805;0.6489124;0.813;348;348;348;348
0.5720637;0.9852941;0.67170924;0.82;0.67432225;0.788;348;348;348;348
0.612053;0.9485294;0.6020802;0.828;0.6392268;0.807;348;348;348;348
0.56518734;0.99264705;0.6964426;0.804;0.7052281;0.793;348;348;348;348
0.56708336;0.99264705;0.6335243;0.822;0.6457151;0.8;348;348;348;348
0.58838904;0.9632353;0.58189714;0.832;0.6756073;0.794;348;348;348;348
0.62300533;0.9705882;0.64139426;0.815;0.65551966;0.808;348;348;348;348
0.60297793;0.9632353;0.7231726;0.792;0.7666695;0.779;348;348;348;348
0.67476624;0.9632353;0.6734644;0.805;0.7724108;0.776;348;348;348;348
0.6225845;0.9705882;0.70947987;0.787;0.8324497;0.757;348;348;348;348
0.6148319;0.97794116;0.64039713;0.809;0.7480005;0.784;348;348;348;348
0.61696994;0.9632353;0.70679975;0.783;0.7436122;0.771;348;348;348;348
0.6444968;0.9558824;0.5527446;0.848;0.6089854;0.815;348;348;348;348
0.5582257;1.0;0.5916727;0.821;0.6265863;0.81;348;348;348;348
0.53494877;1.0;0.5835283;0.829;0.621855;0.814;348;348;348;348
0.58167934;0.99264705;0.5858256;0.831;0.65816665;0.798;348;348;348;348
0.5220429;1.0;0.6189437;0.808;0.71053994;0.791;348;348;348;348
0.5284093;1.0;0.5934723;0.822;0.6857392;0.8;348;348;348;348
0.5443474;0.97794116;0.5561783;0.842;0.6544133;0.805;348;348;348;348
0.5091714;1.0;0.6753254;0.807;0.7515225;0.762;348;348;348;348
0.53220254;1.0;0.5950363;0.834;0.6401612;0.81;348;348;348;348
0.5156082;1.0;0.5692622;0.83;0.6474073;0.803;348;348;348;348
0.5428823;0.9852941;0.6261027;0.809;0.65419793;0.812;348;348;348;348
0.525611;1.0;0.591318;0.829;0.64795566;0.802;348;348;348;348
0.59938943;0.9632353;0.78722095;0.769;0.81417227;0.76;348;348;348;348
0.5669451;1.0;0.7701346;0.774;0.8422284;0.756;348;348;348;348
0.64915776;0.9632353;0.6177818;0.819;0.67274594;0.796;348;348;348;348
0.6347;0.9705882;0.7023285;0.813;0.7723951;0.773;348;348;348;348
0.5853225;0.99264705;0.61221343;0.82;0.6772458;0.795;348;348;348;348
0.5708747;0.97794116;0.6761458;0.806;0.70707315;0.786;348;348;348;348
0.56999016;0.9852941;0.668494;0.806;0.69892174;0.784;348;348;348;348
0.5535066;0.9852941;0.6229285;0.825;0.7016223;0.799;348;348;348;348
0.54168224;0.99264705;0.6383292;0.811;0.66374254;0.813;348;348;348;348
0.5403253;0.99264705;0.60732406;0.82;0.6666059;0.8;348;348;348;348
0.54054624;0.9852941;0.65667284;0.808;0.68622845;0.792;348;348;348;348
0.51418406;0.99264705;0.5987536;0.83;0.65898836;0.792;348;348;348;348
0.51477945;0.99264705;0.55198675;0.845;0.63501745;0.805;348;348;348;348
0.515723;0.99264705;0.5496843;0.84;0.63525385;0.805;348;348;348;348
0.55617803;0.9705882;0.58052844;0.826;0.6268574;0.812;348;348;348;348
0.608763;0.9338235;0.62115085;0.813;0.69474;0.787;348;348;348;348
0.5560231;0.97794116;0.6499596;0.805;0.76689976;0.772;348;348;348;348
0.6524118;0.9485294;0.67340314;0.783;0.78005266;0.772;348;348;348;348
0.5852563;0.9852941;0.62853986;0.798;0.7247176;0.783;348;348;348;348
0.62542546;0.9705882;0.71694535;0.793;0.83620024;0.769;348;348;348;348
0.6176548;0.9705882;0.68467283;0.808;0.679067;0.794;348;348;348;348
0.56238747;0.9852941;0.65733486;0.809;0.73419607;0.781;348;348;348;348
0.535007;1.0;0.5998858;0.822;0.6667929;0.81;348;348;348;348
0.53907895;1.0;0.58461845;0.837;0.6272753;0.819;348;348;348;348
0.5196593;0.99264705;0.59193194;0.823;0.6332374;0.805;348;348;348;348
0.5242913;1.0;0.56785613;0.824;0.66927224;0.796;348;348;348;348
0.50464875;0.9852941;0.60695183;0.817;0.69662744;0.779;348;348;348;348
