loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
14.315344;0.6911765;0.9640966;0.707;0.98142594;0.713;435;435;435;435
8.753567;0.7352941;0.79277;0.833;0.81766754;0.838;435;435;435;435
5.80754;0.7352941;0.8082527;0.838;0.84730446;0.833;435;435;435;435
3.9482126;0.7941176;0.73385257;0.859;0.766331;0.852;435;435;435;435
3.0987525;0.7794118;0.72857547;0.857;0.75145066;0.864;435;435;435;435
2.5232196;0.75;0.7654118;0.855;0.80243164;0.842;435;435;435;435
2.346623;0.7132353;0.69690806;0.884;0.7205907;0.871;435;435;435;435
1.8359702;0.7941176;0.6907482;0.877;0.7153266;0.868;435;435;435;435
1.8832854;0.75;0.74028033;0.855;0.7576939;0.858;435;435;435;435
1.7166111;0.7058824;0.69349617;0.858;0.71325415;0.864;435;435;435;435
1.6884906;0.7352941;0.6980707;0.872;0.7178321;0.865;435;435;435;435
1.6913301;0.7205882;0.68546736;0.894;0.70592153;0.882;435;435;435;435
1.5260258;0.7794118;0.68485904;0.875;0.70555925;0.87;435;435;435;435
1.7053181;0.75;0.65002584;0.883;0.6638115;0.883;435;435;435;435
1.5163867;0.7794118;0.6431226;0.885;0.6585277;0.887;435;435;435;435
1.4756498;0.8014706;0.6425283;0.888;0.6455667;0.887;435;435;435;435
1.4488811;0.7941176;0.6746655;0.864;0.702186;0.861;435;435;435;435
1.3280573;0.8382353;0.6169612;0.896;0.62986284;0.893;435;435;435;435
1.5587536;0.7647059;0.6715984;0.875;0.6892367;0.88;435;435;435;435
1.5676551;0.7647059;0.6608145;0.891;0.6674715;0.886;435;435;435;435
1.8162482;0.6397059;0.75188595;0.826;0.79072464;0.82;435;435;435;435
1.4694357;0.7867647;0.6383128;0.893;0.656665;0.894;435;435;435;435
1.4613614;0.8235294;0.6397449;0.894;0.64956385;0.892;435;435;435;435
1.5102115;0.7794118;0.62118936;0.899;0.6257682;0.888;435;435;435;435
1.6107436;0.7647059;0.6300226;0.886;0.64784086;0.896;435;435;435;435
1.5877774;0.75735295;0.6681764;0.887;0.68190855;0.897;435;435;435;435
1.5825155;0.75735295;0.652444;0.88;0.6532335;0.896;435;435;435;435
1.5754001;0.74264705;0.609524;0.897;0.6222986;0.9;435;435;435;435
1.4432007;0.7794118;0.6449499;0.896;0.6578494;0.898;435;435;435;435
1.6996267;0.72794116;0.6527356;0.881;0.6623027;0.877;435;435;435;435
1.3433278;0.7867647;0.64525074;0.892;0.6566413;0.889;435;435;435;435
1.4077721;0.8235294;0.62609255;0.893;0.6440555;0.887;435;435;435;435
1.8135319;0.6985294;0.64222425;0.876;0.6579705;0.884;435;435;435;435
1.3835478;0.8602941;0.65272325;0.88;0.66116995;0.88;435;435;435;435
1.5377395;0.7647059;0.62867516;0.891;0.6337541;0.89;435;435;435;435
1.4511629;0.7794118;0.6509164;0.883;0.6450543;0.899;435;435;435;435
1.483535;0.7941176;0.6215529;0.89;0.6361289;0.889;435;435;435;435
1.3111143;0.85294116;0.6368335;0.89;0.644971;0.895;435;435;435;435
1.4309063;0.8088235;0.6009857;0.898;0.6200134;0.89;435;435;435;435
1.309935;0.8382353;0.60085994;0.902;0.6124948;0.902;435;435;435;435
