loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
2.560201;0.19117647;2.2985213;0.179;2.2986143;0.214;76;76;76;76
2.3934498;0.18382353;2.212978;0.208;2.2148643;0.216;76;76;76;76
2.3012416;0.20588236;1.9234207;0.21;1.94376;0.19;76;76;76;76
2.0689046;0.23529412;1.8377937;0.242;1.8698225;0.24;76;76;76;76
2.0153408;0.23529412;1.7115972;0.319;1.7387991;0.297;76;76;76;76
1.7649475;0.375;1.6027653;0.346;1.6345847;0.34;76;76;76;76
1.8259345;0.36764705;1.5088048;0.382;1.5414155;0.376;76;76;76;76
1.8348932;0.49264705;1.4172571;0.472;1.456564;0.485;76;76;76;76
1.7516539;0.5147059;1.3813001;0.504;1.4028418;0.548;76;76;76;76
1.7334666;0.4632353;1.2525195;0.574;1.2615514;0.598;76;76;76;76
1.6040736;0.5882353;1.1647557;0.577;1.164407;0.591;76;76;76;76
1.4190559;0.61764705;1.0874821;0.634;1.0839286;0.671;76;76;76;76
1.3725989;0.6691176;1.0394734;0.672;1.031971;0.694;76;76;76;76
1.4702692;0.625;1.0174541;0.677;1.016631;0.678;76;76;76;76
1.4621162;0.6544118;0.9332668;0.733;0.9408255;0.742;76;76;76;76
1.4487469;0.64705884;0.9008108;0.743;0.90156704;0.755;76;76;76;76
1.221659;0.75735295;0.876505;0.759;0.87221396;0.774;76;76;76;76
1.5215976;0.6838235;0.89493823;0.751;0.8837907;0.767;76;76;76;76
1.201878;0.7205882;0.85674626;0.758;0.8552124;0.771;76;76;76;76
1.1431;0.75735295;0.7890487;0.793;0.7880404;0.806;76;76;76;76
1.4821211;0.6691176;0.79842705;0.792;0.7959687;0.812;76;76;76;76
1.3823214;0.7205882;0.7787644;0.8;0.77373254;0.808;76;76;76;76
1.2928214;0.72794116;0.74868995;0.806;0.74114716;0.822;76;76;76;76
1.3658699;0.7058824;0.73677146;0.814;0.73338413;0.822;76;76;76;76
1.1360793;0.8014706;0.7331564;0.817;0.72572553;0.83;76;76;76;76
1.1892128;0.7794118;0.7026488;0.837;0.6937185;0.849;76;76;76;76
1.104174;0.8014706;0.69211626;0.837;0.69055486;0.848;76;76;76;76
1.1729388;0.7794118;0.6807754;0.839;0.6677697;0.845;76;76;76;76
1.114624;0.77205884;0.6663271;0.83;0.66616994;0.836;76;76;76;76
1.3925208;0.7132353;0.6604129;0.835;0.6356165;0.855;76;76;76;76
1.018297;0.8088235;0.6730726;0.834;0.6521536;0.845;76;76;76;76
1.1632717;0.7867647;0.64438194;0.837;0.63822824;0.844;76;76;76;76
1.2529571;0.75735295;0.632068;0.844;0.61858624;0.851;76;76;76;76
1.2105347;0.74264705;0.6242733;0.85;0.614683;0.855;76;76;76;76
1.1648026;0.8088235;0.6411312;0.842;0.641024;0.843;76;76;76;76
1.3339149;0.72794116;0.6456512;0.846;0.6315967;0.851;76;76;76;76
1.0407833;0.8014706;0.64456236;0.844;0.627267;0.84;76;76;76;76
1.1050615;0.8308824;0.644156;0.853;0.6234404;0.859;76;76;76;76
1.3443403;0.72794116;0.6343838;0.852;0.6207292;0.853;76;76;76;76
1.1255372;0.7794118;0.61718106;0.85;0.60296124;0.857;76;76;76;76
0.7820023;0.875;0.6140221;0.852;0.5945351;0.851;76;76;76;76
1.11997;0.7867647;0.6194654;0.853;0.594107;0.858;76;76;76;76
1.2545514;0.7647059;0.62295;0.846;0.59858257;0.855;76;76;76;76
1.243045;0.77205884;0.6250077;0.837;0.6092625;0.841;76;76;76;76
1.2656982;0.77205884;0.6293977;0.846;0.6052939;0.848;76;76;76;76
1.0400946;0.8014706;0.5999347;0.849;0.57781154;0.856;76;76;76;76
