loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
2.2904968;0.16745283;2.2847824;0.2119;2.2856007;0.1966;117;117;117;117
2.2487543;0.4457547;2.2337303;0.5338;2.2339737;0.5274;117;117;117;117
2.1242306;0.48820755;2.0780878;0.5635;2.0768952;0.5596;117;117;117;117
1.870229;0.47995284;1.7473915;0.5429;1.7461847;0.5425;117;117;117;117
1.5929809;0.5613208;1.3470684;0.6843;1.3510761;0.6722;117;117;117;117
1.3034967;0.6816038;1.0243587;0.7735;1.035833;0.7572;117;117;117;117
1.1794605;0.6957547;0.8156015;0.8249;0.83081573;0.8085;117;117;117;117
1.1008962;0.7464623;0.6872696;0.8561;0.70216435;0.843;117;117;117;117
0.9989257;0.7724057;0.60853;0.8737;0.62200373;0.8647;117;117;117;117
0.9512711;0.7948113;0.55829114;0.8835;0.57043916;0.8765;117;117;117;117
0.9537184;0.7771226;0.5245542;0.8901;0.53570235;0.8845;117;117;117;117
0.9719735;0.7771226;0.50112164;0.8958;0.51120245;0.8921;117;117;117;117
0.98933834;0.7841981;0.48310933;0.8984;0.4923892;0.896;117;117;117;117
0.906979;0.7995283;0.46813047;0.9018;0.47684786;0.8981;117;117;117;117
0.95464593;0.7877358;0.45480576;0.9037;0.46284854;0.9007;117;117;117;117
0.9041028;0.7959906;0.4434938;0.9065;0.45126903;0.9039;117;117;117;117
0.9680301;0.7806604;0.43394327;0.9081;0.44139493;0.9051;117;117;117;117
0.8648313;0.8136792;0.4245454;0.9109;0.4317526;0.9075;117;117;117;117
0.9317921;0.7948113;0.41588926;0.9125;0.42273387;0.9101;117;117;117;117
0.87846524;0.803066;0.40820238;0.9144;0.41483432;0.9109;117;117;117;117
0.7845581;0.8290094;0.40028092;0.9158;0.406702;0.913;117;117;117;117
0.8634118;0.807783;0.39260334;0.9176;0.39882025;0.9153;117;117;117;117
0.8877241;0.8054245;0.38602367;0.9188;0.3920771;0.9168;117;117;117;117
0.829498;0.8195755;0.37933046;0.9212;0.3850629;0.9187;117;117;117;117
0.85522765;0.8113208;0.37319884;0.9225;0.37877378;0.9195;117;117;117;117
0.8311278;0.8242925;0.36730853;0.9234;0.37276477;0.9198;117;117;117;117
0.7491958;0.8408019;0.36126938;0.925;0.36668903;0.9208;117;117;117;117
0.8618643;0.8136792;0.35548872;0.9263;0.36058098;0.9221;117;117;117;117
0.8048179;0.8242925;0.35127467;0.9274;0.3563043;0.9239;117;117;117;117
