loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
0.9836821;0.72794116;0.644459;0.836;0.6789116;0.833;1500;1500;1500;1500
0.898575;0.8161765;0.48419464;0.892;0.4911556;0.882;1500;1500;1500;1500
1.1524533;0.7205882;0.47517577;0.901;0.47693762;0.893;1500;1500;1500;1500
0.8099476;0.7794118;0.45402357;0.898;0.46189085;0.902;1500;1500;1500;1500
0.444388;0.88235295;0.47436303;0.892;0.48404;0.878;1500;1500;1500;1500
0.31363982;0.9191176;0.4352593;0.887;0.47199515;0.866;1500;1500;1500;1500
0.11223374;0.9705882;0.49243572;0.853;0.5303844;0.828;1500;1500;1500;1500
0.245224;0.9411765;0.59953696;0.828;0.610649;0.827;1500;1500;1500;1500
0.20861769;0.9485294;0.5642429;0.844;0.59035414;0.835;1500;1500;1500;1500
0.16238739;0.9558824;0.606451;0.832;0.6093106;0.828;1500;1500;1500;1500
0.17896129;0.9558824;0.63367444;0.827;0.6758401;0.816;1500;1500;1500;1500
0.13800652;0.9485294;0.6376065;0.838;0.6916676;0.813;1500;1500;1500;1500
0.09831443;0.97794116;0.6106083;0.851;0.5515287;0.843;1500;1500;1500;1500
0.071434446;0.9705882;0.6675399;0.825;0.6937634;0.811;1500;1500;1500;1500
0.051555507;0.97794116;0.7478601;0.829;0.6030946;0.838;1500;1500;1500;1500
0.07067616;0.9852941;0.84772414;0.782;0.81895643;0.793;1500;1500;1500;1500
0.049916048;0.99264705;0.6898857;0.819;0.70705175;0.812;1500;1500;1500;1500
0.026780669;0.99264705;0.6538534;0.844;0.6398205;0.844;1500;1500;1500;1500
0.019827068;0.99264705;0.6536971;0.845;0.7028313;0.821;1500;1500;1500;1500
0.018617596;1.0;0.61135465;0.846;0.65501416;0.828;1500;1500;1500;1500
0.026603324;0.99264705;0.616823;0.865;0.68872124;0.84;1500;1500;1500;1500
0.032007705;0.99264705;0.81182325;0.803;0.9795399;0.776;1500;1500;1500;1500
0.014172722;1.0;0.65561575;0.836;0.6707413;0.828;1500;1500;1500;1500
0.0116912145;0.99264705;0.6063402;0.854;0.6147077;0.843;1500;1500;1500;1500
0.10176035;0.9852941;0.6512513;0.861;0.70099795;0.846;1500;1500;1500;1500
0.01622394;0.99264705;0.60515153;0.851;0.63254577;0.848;1500;1500;1500;1500
0.021849882;0.99264705;0.77598643;0.817;0.77277434;0.816;1500;1500;1500;1500
0.03865505;0.9852941;0.683734;0.827;0.66244644;0.825;1500;1500;1500;1500
0.07331199;0.97794116;0.6933294;0.821;0.65556633;0.816;1500;1500;1500;1500
0.057674367;0.9852941;0.6616578;0.843;0.66440016;0.833;1500;1500;1500;1500
0.013295139;1.0;0.7868197;0.816;0.8230717;0.799;1500;1500;1500;1500
0.009999129;1.0;0.6428703;0.857;0.6521243;0.834;1500;1500;1500;1500
0.02327232;0.99264705;0.66480595;0.843;0.6499887;0.831;1500;1500;1500;1500
0.0039259517;1.0;0.72411186;0.846;0.71398133;0.819;1500;1500;1500;1500
0.06454306;0.99264705;0.6629162;0.85;0.67679137;0.844;1500;1500;1500;1500
0.0018735596;1.0;0.6488474;0.859;0.68939775;0.84;1500;1500;1500;1500
0.0059946375;1.0;0.6794193;0.857;0.7293062;0.835;1500;1500;1500;1500
0.08412763;0.99264705;0.7414144;0.852;0.7558692;0.835;1500;1500;1500;1500
0.03355018;0.9852941;0.7583556;0.826;0.78754795;0.822;1500;1500;1500;1500
0.11217902;0.9852941;0.6712694;0.844;0.7481178;0.811;1500;1500;1500;1500
0.051788896;0.97794116;0.6826018;0.84;0.7716285;0.813;1500;1500;1500;1500
0.04798779;0.9852941;0.6209276;0.841;0.7654856;0.814;1500;1500;1500;1500
0.03062989;0.9852941;0.6122671;0.86;0.7634547;0.813;1500;1500;1500;1500
0.063026614;0.97794116;0.6363963;0.839;0.6551403;0.818;1500;1500;1500;1500
0.1119495;0.9705882;0.69194406;0.836;0.7764893;0.821;1500;1500;1500;1500
0.010119267;1.0;0.804421;0.826;0.7913343;0.816;1500;1500;1500;1500
0.0056310855;1.0;0.6627302;0.851;0.60488486;0.849;1500;1500;1500;1500
0.032507967;0.97794116;0.71687186;0.835;0.7558342;0.821;1500;1500;1500;1500
0.0022037849;1.0;0.6499209;0.857;0.6942895;0.841;1500;1500;1500;1500
0.001936498;1.0;0.665239;0.862;0.7139927;0.835;1500;1500;1500;1500
0.021963023;0.99264705;0.6600226;0.857;0.710346;0.846;1500;1500;1500;1500
0.0050921426;1.0;0.68421197;0.85;0.7185415;0.846;1500;1500;1500;1500
0.008373498;0.99264705;0.68751097;0.86;0.7210376;0.846;1500;1500;1500;1500
0.065409936;0.99264705;0.6530221;0.859;0.6960939;0.844;1500;1500;1500;1500
0.0010273895;1.0;0.6662905;0.865;0.73659045;0.845;1500;1500;1500;1500
0.00020277697;1.0;0.6754027;0.861;0.6976783;0.842;1500;1500;1500;1500
0.0004872435;1.0;0.71624094;0.858;0.76027954;0.831;1500;1500;1500;1500
0.003688608;1.0;0.7709975;0.834;0.73906595;0.838;1500;1500;1500;1500
0.0028076167;1.0;0.76004195;0.83;0.79073924;0.83;1500;1500;1500;1500
0.01489565;0.99264705;0.71155113;0.836;0.75668186;0.835;1500;1500;1500;1500
0.083455734;0.97794116;0.8213773;0.817;0.82914156;0.821;1500;1500;1500;1500
0.034370333;0.9852941;0.6739605;0.836;0.68448305;0.838;1500;1500;1500;1500
0.03235345;0.9852941;0.7746138;0.824;0.75456774;0.816;1500;1500;1500;1500
0.026410671;0.99264705;0.8456071;0.818;0.86269426;0.817;1500;1500;1500;1500
0.019221313;0.99264705;0.7093144;0.838;0.8262561;0.814;1500;1500;1500;1500
0.007434996;1.0;0.80483687;0.822;0.7674245;0.829;1500;1500;1500;1500
0.0057944455;1.0;0.7188392;0.848;0.72277135;0.827;1500;1500;1500;1500
0.0051962147;1.0;0.6812312;0.84;0.74099225;0.833;1500;1500;1500;1500
0.071246326;0.97794116;0.6421897;0.845;0.77304745;0.828;1500;1500;1500;1500
0.11692387;0.9852941;0.6345208;0.859;0.6867252;0.832;1500;1500;1500;1500
0.010030699;1.0;0.7249857;0.825;0.828703;0.819;1500;1500;1500;1500
0.02066627;0.99264705;0.7533057;0.833;0.87876904;0.816;1500;1500;1500;1500
0.0016266913;1.0;0.806499;0.823;0.78996253;0.823;1500;1500;1500;1500
0.0408146;0.97794116;0.7300718;0.822;0.8250546;0.818;1500;1500;1500;1500
0.033899006;0.9852941;0.73269683;0.823;0.7738104;0.811;1500;1500;1500;1500
0.014413866;0.99264705;0.76421815;0.834;0.84826654;0.812;1500;1500;1500;1500
0.019601457;1.0;0.7302879;0.832;0.78677964;0.812;1500;1500;1500;1500
0.012312256;1.0;0.6602043;0.854;0.7593611;0.852;1500;1500;1500;1500
0.020415938;0.99264705;0.7779728;0.826;0.8836454;0.796;1500;1500;1500;1500
0.0046736584;1.0;0.7184517;0.847;0.8021775;0.829;1500;1500;1500;1500
0.052008733;0.9852941;0.7491285;0.824;0.80896103;0.81;1500;1500;1500;1500
0.060391847;0.97794116;0.5614775;0.858;0.66432387;0.84;1500;1500;1500;1500
0.046900056;0.9852941;0.7369282;0.842;0.75818586;0.83;1500;1500;1500;1500
0.002318285;1.0;0.6937999;0.853;0.710955;0.836;1500;1500;1500;1500
0.00069884723;1.0;0.6985355;0.854;0.71748644;0.833;1500;1500;1500;1500
0.0016234716;1.0;0.73083097;0.852;0.80516696;0.833;1500;1500;1500;1500
0.0039991704;1.0;0.64850277;0.85;0.77027655;0.838;1500;1500;1500;1500
0.0018676519;1.0;0.64256006;0.868;0.6952379;0.842;1500;1500;1500;1500
0.010676504;0.99264705;0.65255386;0.857;0.7518226;0.832;1500;1500;1500;1500
0.0047258562;1.0;0.6772123;0.858;0.7731072;0.842;1500;1500;1500;1500
0.002210174;1.0;0.7157265;0.837;0.74902976;0.838;1500;1500;1500;1500
0.000915286;1.0;0.70897895;0.836;0.72780186;0.836;1500;1500;1500;1500
0.001754954;1.0;0.68370956;0.849;0.799636;0.829;1500;1500;1500;1500
0.0024484172;1.0;0.66715;0.861;0.685154;0.856;1500;1500;1500;1500
