loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
1.749339;0.5625;1.5438282;0.5;1.3052217;0.5683;10;10;10;10
1.1603132;0.7395833;0.80152845;1.0;0.75345296;0.8339;10;10;10;10
0.9591465;0.7708333;0.5701573;1.0;0.5591162;0.8898;10;10;10;10
1.1302656;0.78125;0.50906456;1.0;0.48580542;0.9146;10;10;10;10
0.9427269;0.8020833;0.38815615;1.0;0.46754175;0.9172;10;10;10;10
0.7250888;0.8645833;0.38625288;1.0;0.4008094;0.9329;10;10;10;10
0.93971056;0.8020833;0.35993528;1.0;0.3906548;0.9405;10;10;10;10
0.99015474;0.7708333;0.33791694;1.0;0.37486416;0.9417;10;10;10;10
0.88305664;0.8125;0.29864764;1.0;0.36226624;0.9398;10;10;10;10
1.0328826;0.78125;0.30722702;1.0;0.3501163;0.9469;10;10;10;10
1.2041208;0.7291667;0.27647024;1.0;0.35684755;0.9454;10;10;10;10
1.0908481;0.7604167;0.31508493;1.0;0.3612511;0.9437;10;10;10;10
0.7873915;0.84375;0.2671814;1.0;0.36181065;0.9479;10;10;10;10
0.776542;0.84375;0.21839514;1.0;0.36618897;0.9429;10;10;10;10
0.91310626;0.8125;0.26328847;1.0;0.34670147;0.9498;10;10;10;10
1.1408151;0.75;0.23030289;1.0;0.3270495;0.9506;10;10;10;10
0.656453;0.875;0.19206838;1.0;0.32796437;0.9517;10;10;10;10
0.9543333;0.8020833;0.24339992;1.0;0.3246918;0.9519;10;10;10;10
0.8791785;0.8020833;0.21573445;1.0;0.3408713;0.9467;10;10;10;10
0.94122773;0.8020833;0.2719227;1.0;0.3303505;0.9501;10;10;10;10
0.87219715;0.8020833;0.21243885;1.0;0.31664073;0.9545;10;10;10;10
1.0184427;0.78125;0.26719272;1.0;0.32531264;0.9533;10;10;10;10
1.0238079;0.7708333;0.22685273;1.0;0.32388118;0.9522;10;10;10;10
0.8319463;0.8333333;0.24975613;1.0;0.33734068;0.953;10;10;10;10
0.7745738;0.8333333;0.20599282;1.0;0.33058724;0.9502;10;10;10;10
0.99208236;0.78125;0.21796414;1.0;0.3236029;0.9525;10;10;10;10
0.91534907;0.7916667;0.20337096;1.0;0.3431438;0.9476;10;10;10;10
0.9791322;0.7916667;0.23460507;1.0;0.3229017;0.9559;10;10;10;10
0.933548;0.7916667;0.2158553;1.0;0.333851;0.9475;10;10;10;10
0.8928229;0.8125;0.27643993;1.0;0.31597772;0.9537;10;10;10;10
0.9537894;0.7916667;0.22283214;1.0;0.33754435;0.948;10;10;10;10
0.9716281;0.7708333;0.20367338;1.0;0.32899848;0.9467;10;10;10;10
0.7949268;0.84375;0.25288635;1.0;0.33457083;0.9505;10;10;10;10
0.6600949;0.8645833;0.19856209;1.0;0.31276426;0.9541;10;10;10;10
1.1925436;0.7291667;0.2234681;1.0;0.32415333;0.9552;10;10;10;10
1.0406734;0.7708333;0.20963085;1.0;0.34197962;0.9499;10;10;10;10
0.7643488;0.84375;0.17404413;1.0;0.30410492;0.9557;10;10;10;10
1.1432163;0.7395833;0.19936755;1.0;0.31526995;0.9553;10;10;10;10
0.9335926;0.8020833;0.21896465;1.0;0.32257172;0.9507;10;10;10;10
0.87960196;0.8125;0.23653033;1.0;0.3198015;0.9543;10;10;10;10
0.7548148;0.8541667;0.21884447;1.0;0.32783583;0.9488;10;10;10;10
0.8230359;0.8229167;0.19290736;1.0;0.32739547;0.9534;10;10;10;10
1.1619848;0.7395833;0.19668825;1.0;0.33533084;0.9462;10;10;10;10
