loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
1.192017;0.7291667;3.0467691;0.0;0.42153004;0.9402;187;187;187;187
1.0062298;0.78125;3.3228135;0.0;0.35781297;0.959;187;187;187;187
1.066068;0.7604167;3.5428987;0.0;0.31740934;0.9658;187;187;187;187
0.7352359;0.8645833;3.4600823;0.0;0.31866503;0.9689;187;187;187;187
0.61685497;0.8854167;3.3841727;0.0;0.3152483;0.9678;187;187;187;187
0.7831669;0.84375;3.4139237;0.0;0.31824943;0.9683;187;187;187;187
1.0665076;0.7604167;3.0119894;0.0;0.33209378;0.968;187;187;187;187
0.9608411;0.7916667;2.8589473;0.0;0.34794745;0.9663;187;187;187;187
0.7714811;0.8333333;3.027021;0.0;0.31910014;0.9656;187;187;187;187
0.7949684;0.8333333;3.2195673;0.0;0.2985544;0.9628;187;187;187;187
0.7927802;0.8333333;2.8083665;0.0;0.31465232;0.9603;187;187;187;187
0.86830777;0.8020833;2.5303802;0.0;0.33500695;0.9615;187;187;187;187
0.87097263;0.7916667;2.256581;0.0;0.31576914;0.9567;187;187;187;187
0.5739837;0.8645833;2.1120372;0.0;0.31602418;0.9541;187;187;187;187
0.60019344;0.8645833;2.0614643;0.0;0.3326445;0.952;187;187;187;187
0.49784264;0.8958333;2.1084423;0.0;0.33685985;0.9505;187;187;187;187
0.7768356;0.78125;1.548676;0.0;0.38258067;0.9426;187;187;187;187
0.51895326;0.8645833;1.4160519;0.0;0.37423182;0.9422;187;187;187;187
0.58049256;0.8541667;1.3506656;0.5;0.38061675;0.933;187;187;187;187
0.59274966;0.84375;1.3423494;0.5;0.41620615;0.9247;187;187;187;187
0.66118234;0.8229167;1.7501857;0.0;0.4184451;0.9261;187;187;187;187
0.507901;0.84375;0.6567;1.0;0.42661408;0.9221;187;187;187;187
0.5254361;0.84375;0.33257842;1.0;0.44277206;0.92;187;187;187;187
0.58047134;0.8333333;0.39801836;1.0;0.4698787;0.9096;187;187;187;187
0.4271417;0.8854167;0.2827055;1.0;0.4513126;0.9201;187;187;187;187
0.32596782;0.8854167;0.18008408;1.0;0.45809072;0.9163;187;187;187;187
0.43873152;0.8645833;0.017498832;1.0;0.4855477;0.907;187;187;187;187
0.370433;0.875;0.025899805;1.0;0.5146966;0.9007;187;187;187;187
0.4033052;0.8958333;0.0005646149;1.0;0.5258726;0.8982;187;187;187;187
0.30527163;0.9270833;0.026685186;1.0;0.5722344;0.8869;187;187;187;187
0.3230395;0.9166667;0.0011325318;1.0;0.548887;0.8969;187;187;187;187
0.45074806;0.875;0.042388447;1.0;0.56761926;0.8845;187;187;187;187
0.34209073;0.8854167;0.018877067;1.0;0.56605744;0.893;187;187;187;187
0.31593612;0.90625;0.0857178;1.0;0.64418525;0.8663;187;187;187;187
0.28077543;0.90625;0.014521857;1.0;0.6132088;0.8774;187;187;187;187
0.2576125;0.9166667;0.0060218056;1.0;0.60740143;0.884;187;187;187;187
0.36586943;0.875;0.009465065;1.0;0.6940111;0.8699;187;187;187;187
0.37650263;0.8854167;0.009181646;1.0;0.66524774;0.8776;187;187;187;187
0.32922927;0.8854167;0.0015147377;1.0;0.67670685;0.8726;187;187;187;187
0.26845893;0.9166667;0.0007916039;1.0;0.7237875;0.8658;187;187;187;187
0.2025991;0.9166667;6.365574e-05;1.0;0.71370244;0.8685;187;187;187;187
