loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
1.5282371;0.8020833;0.81506324;1.0;0.65904397;0.8779;385;385;385;385
1.6631464;0.75;0.8954692;1.0;0.6314865;0.8755;385;385;385;385
1.5471618;0.8020833;0.6546862;1.0;0.60123974;0.889;385;385;385;385
1.5247985;0.7708333;0.8008861;1.0;0.622474;0.8903;385;385;385;385
1.6465976;0.7291667;0.71100795;1.0;0.6034288;0.8866;385;385;385;385
1.4992484;0.78125;0.69335806;1.0;0.5851002;0.8904;385;385;385;385
1.4585925;0.78125;0.60248524;1.0;0.59421736;0.8937;385;385;385;385
1.4249601;0.8125;0.81462884;1.0;0.5731861;0.8928;385;385;385;385
1.4938526;0.75;0.6607512;1.0;0.5673265;0.9018;385;385;385;385
1.4908955;0.7708333;0.6934626;1.0;0.59138596;0.8853;385;385;385;385
1.3472337;0.7916667;0.517897;1.0;0.5703466;0.89;385;385;385;385
1.3271269;0.8229167;0.6915231;1.0;0.5881224;0.8921;385;385;385;385
1.3073575;0.8125;0.7124953;1.0;0.5672255;0.889;385;385;385;385
1.5215608;0.75;0.80708194;1.0;0.5811912;0.8854;385;385;385;385
1.4111791;0.8333333;0.67980766;1.0;0.5626467;0.8939;385;385;385;385
1.7461318;0.6875;0.7706208;1.0;0.5659626;0.8963;385;385;385;385
1.4175768;0.7916667;0.81135017;1.0;0.5691692;0.889;385;385;385;385
1.581028;0.7291667;0.68754363;1.0;0.55642205;0.9024;385;385;385;385
1.4502856;0.7916667;0.7384138;1.0;0.56071824;0.896;385;385;385;385
1.6465452;0.7083333;0.752213;1.0;0.5740464;0.8936;385;385;385;385
1.6549873;0.71875;0.6084058;1.0;0.5474334;0.8997;385;385;385;385
1.5812492;0.75;0.7518433;1.0;0.5479036;0.9037;385;385;385;385
1.3573805;0.7916667;0.71415204;1.0;0.55278176;0.9057;385;385;385;385
1.4654033;0.7916667;0.8276593;1.0;0.57344055;0.8908;385;385;385;385
1.4377087;0.7708333;0.7239756;1.0;0.56614023;0.8896;385;385;385;385
1.6356992;0.71875;0.82469606;1.0;0.563235;0.8901;385;385;385;385
1.5793909;0.75;0.76022184;1.0;0.5596578;0.9033;385;385;385;385
1.5770549;0.7395833;0.72324204;1.0;0.550907;0.8996;385;385;385;385
1.3023041;0.8229167;0.73610127;1.0;0.56192344;0.893;385;385;385;385
1.2789323;0.8333333;0.73346055;1.0;0.55492693;0.8973;385;385;385;385
1.3056647;0.8125;0.6806444;1.0;0.5458295;0.9031;385;385;385;385
1.4187713;0.7604167;0.7560139;1.0;0.5464173;0.903;385;385;385;385
1.336968;0.8333333;0.8144258;1.0;0.5509356;0.896;385;385;385;385
1.211948;0.875;0.67951345;1.0;0.546024;0.9028;385;385;385;385
1.6093256;0.75;0.68086696;1.0;0.5430365;0.9065;385;385;385;385
1.2651728;0.8229167;0.7597943;1.0;0.5494429;0.8998;385;385;385;385
1.3519852;0.8229167;0.8437849;1.0;0.5579457;0.8968;385;385;385;385
1.3278687;0.8229167;0.73215806;1.0;0.5421796;0.9019;385;385;385;385
1.3279297;0.8020833;0.864471;1.0;0.54929465;0.8996;385;385;385;385
1.3074224;0.8333333;0.8496516;1.0;0.55553055;0.8989;385;385;385;385
1.5769172;0.7708333;0.76361096;1.0;0.5429674;0.904;385;385;385;385
1.337145;0.8125;0.7716737;1.0;0.55388504;0.8925;385;385;385;385
1.5053879;0.7916667;0.74969935;1.0;0.56078106;0.894;385;385;385;385
1.4008243;0.8229167;0.86596024;1.0;0.54772645;0.9022;385;385;385;385
1.5328256;0.6979167;0.7591213;1.0;0.5637692;0.8909;385;385;385;385
1.3878434;0.75;0.79551345;1.0;0.54118353;0.9073;385;385;385;385
1.3425734;0.7708333;0.67145073;1.0;0.5456332;0.8988;385;385;385;385
1.3136151;0.8020833;0.75301105;1.0;0.54181325;0.8987;385;385;385;385
1.3065901;0.8125;0.7857802;1.0;0.5430589;0.9013;385;385;385;385
1.408513;0.7916667;0.71614766;1.0;0.5507142;0.8989;385;385;385;385
1.5331866;0.7395833;0.6712455;1.0;0.54812104;0.8953;385;385;385;385
1.4048643;0.7604167;0.72743297;1.0;0.5393285;0.8996;385;385;385;385
1.4305798;0.8125;0.70713794;1.0;0.5474727;0.8976;385;385;385;385
1.6246352;0.71875;0.86770505;1.0;0.5576374;0.895;385;385;385;385
1.4768739;0.78125;0.7493979;1.0;0.54787314;0.8992;385;385;385;385
1.4021236;0.8125;0.75856185;1.0;0.54439545;0.8955;385;385;385;385
1.3353508;0.8125;0.73535794;1.0;0.5488996;0.8981;385;385;385;385
1.2981172;0.8125;0.76662004;1.0;0.5552605;0.891;385;385;385;385
1.6455004;0.75;0.7220901;1.0;0.545532;0.9006;385;385;385;385
1.2282863;0.8333333;0.7034483;1.0;0.54866517;0.9011;385;385;385;385
1.2649815;0.8333333;0.69336355;1.0;0.5486241;0.8952;385;385;385;385
1.5060723;0.7916667;0.7826305;1.0;0.54845756;0.8974;385;385;385;385
1.3978016;0.7916667;0.8076571;1.0;0.562015;0.8843;385;385;385;385
1.4058421;0.78125;0.68922997;1.0;0.5530341;0.8978;385;385;385;385
1.3548745;0.78125;0.7257645;1.0;0.5444124;0.8996;385;385;385;385
1.3936108;0.78125;0.8477304;1.0;0.56703633;0.8862;385;385;385;385
1.3976322;0.7916667;0.7895335;1.0;0.54234236;0.9004;385;385;385;385
1.3271294;0.8333333;0.7484082;1.0;0.5545207;0.8959;385;385;385;385
1.8136868;0.6354167;0.80248666;1.0;0.5650951;0.8907;385;385;385;385
1.2688615;0.8229167;0.72723544;1.0;0.54517657;0.8969;385;385;385;385
