loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
1.0738236;0.7604167;1.6291224;0.5;0.34133565;0.9541;4500;4500;4500;4500
0.9557473;0.7916667;1.6068192;0.5;0.3016072;0.9605;4500;4500;4500;4500
0.908782;0.78125;1.308994;0.5;0.3314693;0.9602;4500;4500;4500;4500
0.88202006;0.7604167;0.8063001;0.5;0.29412934;0.9559;4500;4500;4500;4500
0.60979813;0.8125;0.375477;1.0;0.3411314;0.9364;4500;4500;4500;4500
0.43790665;0.8854167;0.29225925;1.0;0.3606639;0.9179;4500;4500;4500;4500
0.5518823;0.8229167;0.08592384;1.0;0.32630804;0.9225;4500;4500;4500;4500
0.28709272;0.9375;0.055046048;1.0;0.40049285;0.8945;4500;4500;4500;4500
0.31192186;0.90625;0.0069854357;1.0;0.4101851;0.8933;4500;4500;4500;4500
0.4690442;0.875;0.012243616;1.0;0.43645844;0.8769;4500;4500;4500;4500
0.11143583;0.9479167;0.0007804866;1.0;0.32524818;0.9154;4500;4500;4500;4500
0.30392966;0.9270833;0.005596388;1.0;0.37345165;0.9006;4500;4500;4500;4500
0.30288398;0.8958333;0.029170038;1.0;0.35156405;0.9048;4500;4500;4500;4500
0.14092225;0.9270833;0.10631398;1.0;0.379442;0.899;4500;4500;4500;4500
0.26328602;0.90625;0.00055873184;1.0;0.48764414;0.8656;4500;4500;4500;4500
0.23252867;0.9479167;0.0006452902;1.0;0.47624692;0.8713;4500;4500;4500;4500
0.3052871;0.9166667;5.9066457e-05;1.0;0.399375;0.8874;4500;4500;4500;4500
0.12467975;0.9375;0.00038531565;1.0;0.43503398;0.8853;4500;4500;4500;4500
0.109408565;0.9583333;0.051084287;1.0;0.46063995;0.8804;4500;4500;4500;4500
0.17108195;0.9270833;0.0032696447;1.0;0.39864868;0.8875;4500;4500;4500;4500
0.0705562;0.9791667;0.006413778;1.0;0.4497234;0.8856;4500;4500;4500;4500
0.09236691;0.9791667;0.051416047;1.0;0.4845371;0.87;4500;4500;4500;4500
0.19446804;0.9479167;0.00070274615;1.0;0.41847438;0.89;4500;4500;4500;4500
0.1388917;0.9479167;0.19225569;1.0;0.54823846;0.8556;4500;4500;4500;4500
0.15891403;0.9375;0.0006438404;1.0;0.42420223;0.8907;4500;4500;4500;4500
0.09433075;0.9375;0.00024014903;1.0;0.4163709;0.8899;4500;4500;4500;4500
0.038257565;0.9791667;0.00014351551;1.0;0.4165671;0.8925;4500;4500;4500;4500
0.10649469;0.96875;0.0005467591;1.0;0.4490049;0.8885;4500;4500;4500;4500
0.12056676;0.96875;3.1172454e-05;1.0;0.41609654;0.8951;4500;4500;4500;4500
0.21666014;0.9895833;0.000980786;1.0;0.44064513;0.8845;4500;4500;4500;4500
0.079114504;0.96875;0.0006179577;1.0;0.48788682;0.8778;4500;4500;4500;4500
0.05136904;0.9791667;7.062894e-05;1.0;0.46490562;0.8883;4500;4500;4500;4500
0.16113754;0.9583333;0.00013015965;1.0;0.4086362;0.8971;4500;4500;4500;4500
0.041692387;1.0;2.0205569e-05;1.0;0.5224684;0.8685;4500;4500;4500;4500
0.09398929;0.9791667;0.004720891;1.0;0.5252941;0.8685;4500;4500;4500;4500
0.09577477;0.96875;0.0024167243;1.0;0.47494277;0.8887;4500;4500;4500;4500
0.14045095;0.96875;5.7397574e-05;1.0;0.5147064;0.8721;4500;4500;4500;4500
0.22708435;0.96875;0.0012082302;1.0;0.4842742;0.8824;4500;4500;4500;4500
0.108629555;0.9583333;4.32711e-05;1.0;0.5007706;0.8778;4500;4500;4500;4500
0.054754674;0.9791667;9.83467e-06;1.0;0.5012531;0.8759;4500;4500;4500;4500
0.20944361;0.9375;0.0001662103;1.0;0.48185995;0.8829;4500;4500;4500;4500
0.2057306;0.9583333;0.0007599806;1.0;0.4611209;0.8913;4500;4500;4500;4500
0.16252425;0.9791667;0.0025806364;1.0;0.4927293;0.8809;4500;4500;4500;4500
0.031615864;1.0;0.002078893;1.0;0.499019;0.88;4500;4500;4500;4500
0.028184518;0.9895833;0.013194125;1.0;0.52425826;0.8796;4500;4500;4500;4500
0.06847333;0.9583333;1.1086341e-05;1.0;0.45461866;0.8912;4500;4500;4500;4500
0.12767677;0.9479167;8.3446434e-07;1.0;0.47056156;0.89;4500;4500;4500;4500
0.033869043;0.9895833;0.0056498908;1.0;0.55963135;0.8808;4500;4500;4500;4500
0.24391957;0.9375;5.245194e-06;1.0;0.53974026;0.8811;4500;4500;4500;4500
0.24763298;0.9583333;0.0009027314;1.0;0.46014473;0.8964;4500;4500;4500;4500
0.2105282;0.96875;0.00016740202;1.0;0.49914804;0.8931;4500;4500;4500;4500
0.014125332;1.0;1.7881392e-07;1.0;0.45831886;0.8919;4500;4500;4500;4500
0.10908119;0.9479167;0.001520703;1.0;0.5306738;0.8804;4500;4500;4500;4500
0.12821172;0.9791667;0.00057628524;1.0;0.46335742;0.89;4500;4500;4500;4500
0.088362634;0.9791667;1.2874454e-05;1.0;0.49871337;0.8893;4500;4500;4500;4500
0.035456073;0.9791667;4.3688306e-05;1.0;0.6265902;0.863;4500;4500;4500;4500
0.28011397;0.9583333;2.3841852e-07;1.0;0.5014611;0.893;4500;4500;4500;4500
0.085088186;0.96875;0.00047655136;1.0;0.5051129;0.8821;4500;4500;4500;4500
0.083610155;0.9791667;2.3841822e-06;1.0;0.50132036;0.8847;4500;4500;4500;4500
0.10081994;0.96875;2.4020095e-05;1.0;0.51734585;0.8839;4500;4500;4500;4500
0.017057031;1.0;0.0;1.0;0.5126599;0.8949;4500;4500;4500;4500
0.058229893;0.9791667;6.5565064e-07;1.0;0.52707267;0.8913;4500;4500;4500;4500
0.032025218;0.9895833;7.450525e-06;1.0;0.5047023;0.8935;4500;4500;4500;4500
0.029786402;0.9791667;0.0011953121;1.0;0.48665386;0.8985;4500;4500;4500;4500
0.019940084;0.9895833;6.3776565e-06;1.0;0.5740679;0.8886;4500;4500;4500;4500
0.03671494;0.9895833;0.0;1.0;0.58519304;0.8813;4500;4500;4500;4500
0.06108499;0.9895833;0.0;1.0;0.55943763;0.8933;4500;4500;4500;4500
0.27146944;0.96875;7.986959e-06;1.0;0.508884;0.8946;4500;4500;4500;4500
0.0425263;0.9791667;0.010158649;1.0;0.5211293;0.8953;4500;4500;4500;4500
0.04642983;0.9791667;7.867751e-06;1.0;0.52240866;0.8905;4500;4500;4500;4500
0.10648412;0.9895833;1.4901138e-06;1.0;0.58612734;0.8784;4500;4500;4500;4500
0.069097064;0.9895833;9.596256e-06;1.0;0.48478344;0.8969;4500;4500;4500;4500
0.06550359;0.9895833;0.0;1.0;0.5100253;0.8948;4500;4500;4500;4500
0.114743255;0.9895833;1.19209275e-07;1.0;0.4841957;0.8986;4500;4500;4500;4500
0.03551064;0.9791667;0.0012843823;1.0;0.6234486;0.8839;4500;4500;4500;4500
0.06671344;0.9895833;0.0001867743;1.0;0.4692301;0.9053;4500;4500;4500;4500
0.028582022;0.9895833;0.0004065201;1.0;0.5035507;0.8923;4500;4500;4500;4500
0.04629913;0.9895833;0.0011461343;1.0;0.5319597;0.8917;4500;4500;4500;4500
0.048273567;0.9791667;2.4139305e-05;1.0;0.5708182;0.8816;4500;4500;4500;4500
0.053554162;0.96875;1.19209275e-07;1.0;0.525833;0.8956;4500;4500;4500;4500
0.04521702;0.9791667;0.0;1.0;0.5951472;0.8839;4500;4500;4500;4500
0.72789556;0.9583333;6.871943e-05;1.0;0.636916;0.8843;4500;4500;4500;4500
0.050903227;0.9791667;0.0011556492;1.0;0.530367;0.8904;4500;4500;4500;4500
0.03427591;0.9791667;1.8894316e-05;1.0;0.48316327;0.9063;4500;4500;4500;4500
0.01174401;1.0;0.0004551127;1.0;0.5043861;0.8954;4500;4500;4500;4500
0.051417816;0.9791667;0.00087286293;1.0;0.47571158;0.8999;4500;4500;4500;4500
0.01899434;0.9895833;0.00021208794;1.0;0.47466925;0.9011;4500;4500;4500;4500
0.01813951;0.9895833;0.000218165;1.0;0.5521294;0.8948;4500;4500;4500;4500
0.12888294;0.9791667;8.647886e-05;1.0;0.46186364;0.9106;4500;4500;4500;4500
0.0024793677;1.0;0.001652012;1.0;0.5774954;0.8972;4500;4500;4500;4500
0.011178791;0.9895833;6.198845e-06;1.0;0.51987815;0.8972;4500;4500;4500;4500
0.16287088;0.96875;0.0;1.0;0.5981237;0.8896;4500;4500;4500;4500
0.010129858;1.0;1.5198953e-05;1.0;0.5076889;0.9;4500;4500;4500;4500
0.010253006;1.0;9.775071e-06;1.0;0.50878084;0.8983;4500;4500;4500;4500
0.0054363343;1.0;2.717898e-05;1.0;0.4988994;0.9019;4500;4500;4500;4500
0.025947243;0.9895833;2.3841852e-07;1.0;0.49805045;0.8987;4500;4500;4500;4500
