loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
2.3059492;0.11764706;2.303597;0.106;2.3001077;0.099;50;50;50;50
2.299159;0.09558824;2.3005888;0.106;2.2982075;0.099;50;50;50;50
2.2833414;0.1764706;2.2916722;0.205;2.2891989;0.214;50;50;50;50
2.2710977;0.19117647;2.2615476;0.237;2.2602377;0.247;50;50;50;50
2.1962764;0.44117647;2.1871526;0.451;2.1890664;0.436;50;50;50;50
2.1090417;0.41911766;2.0306182;0.502;2.037699;0.473;50;50;50;50
1.8542665;0.5;1.7731066;0.571;1.7844628;0.566;50;50;50;50
1.6333672;0.60294116;1.484312;0.65;1.5022832;0.655;50;50;50;50
1.4276519;0.6544118;1.2447381;0.742;1.2648622;0.72;50;50;50;50
1.3248254;0.6985294;1.0201555;0.798;1.0540475;0.775;50;50;50;50
1.2458906;0.6764706;0.8897347;0.833;0.91747206;0.808;50;50;50;50
1.4646064;0.6617647;0.7880624;0.855;0.8170359;0.848;50;50;50;50
1.3201952;0.7132353;0.74164104;0.879;0.758242;0.871;50;50;50;50
1.3042666;0.6764706;0.71267015;0.889;0.73003954;0.88;50;50;50;50
1.1214284;0.75;0.659196;0.88;0.68107945;0.883;50;50;50;50
0.97815603;0.8161765;0.6484889;0.877;0.6577743;0.889;50;50;50;50
1.1555992;0.75;0.6139509;0.896;0.6254085;0.9;50;50;50;50
1.265481;0.72794116;0.62508595;0.894;0.63238794;0.896;50;50;50;50
0.83053553;0.8382353;0.5914004;0.904;0.6054991;0.896;50;50;50;50
0.8257968;0.8308824;0.57429534;0.902;0.5837365;0.899;50;50;50;50
0.98401135;0.77205884;0.55775857;0.904;0.5605305;0.902;50;50;50;50
0.9442253;0.7941176;0.5521567;0.902;0.5546117;0.905;50;50;50;50
0.9692149;0.7941176;0.5442582;0.903;0.54633594;0.899;50;50;50;50
0.9575999;0.77205884;0.52909875;0.901;0.5367768;0.895;50;50;50;50
1.1045196;0.7352941;0.5457554;0.9;0.54572076;0.895;50;50;50;50
0.853209;0.8161765;0.52228963;0.914;0.5270844;0.9;50;50;50;50
0.9229772;0.8088235;0.51938003;0.91;0.5182847;0.901;50;50;50;50
0.84903324;0.8235294;0.5335231;0.901;0.53434044;0.903;50;50;50;50
1.0499452;0.77205884;0.5348666;0.903;0.53367835;0.896;50;50;50;50
0.7675017;0.8235294;0.5091782;0.915;0.5061844;0.892;50;50;50;50
0.82037145;0.8014706;0.52817106;0.9;0.5246648;0.893;50;50;50;50
0.7925304;0.8308824;0.5065199;0.908;0.5118115;0.897;50;50;50;50
1.013226;0.74264705;0.49905112;0.905;0.48816058;0.896;50;50;50;50
0.71038735;0.8235294;0.5027178;0.902;0.49984217;0.897;50;50;50;50
0.7391163;0.8382353;0.5125128;0.889;0.5104654;0.883;50;50;50;50
0.74720764;0.7941176;0.5310594;0.881;0.52701145;0.872;50;50;50;50
0.62350893;0.8602941;0.5335017;0.875;0.5279097;0.872;50;50;50;50
0.45884144;0.9117647;0.5046919;0.894;0.49179414;0.888;50;50;50;50
0.80062246;0.8161765;0.5285684;0.889;0.51632726;0.883;50;50;50;50
0.74516344;0.8088235;0.520438;0.883;0.50882745;0.881;50;50;50;50
0.51738954;0.86764705;0.506948;0.89;0.48645777;0.877;50;50;50;50
0.64818734;0.8235294;0.5015016;0.884;0.49500355;0.884;50;50;50;50
0.65258926;0.8308824;0.4989476;0.878;0.48838544;0.88;50;50;50;50
0.64749014;0.8455882;0.50847155;0.873;0.4994758;0.875;50;50;50;50
0.6048566;0.8308824;0.52415854;0.866;0.51684165;0.866;50;50;50;50
0.6495404;0.8235294;0.52724373;0.866;0.50270367;0.866;50;50;50;50
0.4845874;0.8602941;0.5206848;0.868;0.5051567;0.86;50;50;50;50
0.52487326;0.8602941;0.54164684;0.863;0.52667993;0.852;50;50;50;50
0.51134676;0.88235295;0.53269565;0.851;0.5233978;0.855;50;50;50;50
0.35795456;0.9044118;0.5331276;0.856;0.511405;0.861;50;50;50;50
0.4653637;0.86764705;0.57126683;0.845;0.5518859;0.84;50;50;50;50
0.35843053;0.9117647;0.55006397;0.846;0.53592813;0.846;50;50;50;50
0.52468836;0.85294116;0.5768159;0.842;0.5541247;0.84;50;50;50;50
0.42434153;0.875;0.5589462;0.848;0.5321427;0.846;50;50;50;50
0.36616206;0.9117647;0.59987026;0.829;0.59345704;0.828;50;50;50;50
0.34220955;0.9117647;0.60057986;0.831;0.57377666;0.837;50;50;50;50
0.40179732;0.88235295;0.571536;0.843;0.5519082;0.847;50;50;50;50
0.2942045;0.9338235;0.5642537;0.848;0.56035846;0.841;50;50;50;50
0.36308548;0.9117647;0.64339834;0.823;0.59127766;0.83;50;50;50;50
0.31575897;0.9264706;0.5977706;0.832;0.58350766;0.822;50;50;50;50
0.3693936;0.8602941;0.63677174;0.825;0.61343604;0.815;50;50;50;50
0.2600303;0.9485294;0.6408231;0.83;0.6114706;0.819;50;50;50;50
0.5253923;0.8455882;0.6355684;0.826;0.62185335;0.816;50;50;50;50
0.3198175;0.9191176;0.6443909;0.825;0.62960315;0.814;50;50;50;50
0.25739518;0.9485294;0.6830569;0.795;0.64072925;0.807;50;50;50;50
0.18473835;0.9632353;0.65380824;0.809;0.6422044;0.804;50;50;50;50
0.23344961;0.9485294;0.67452574;0.82;0.66549975;0.797;50;50;50;50
0.25136033;0.9264706;0.7010156;0.808;0.68177325;0.786;50;50;50;50
0.25168416;0.9485294;0.7443128;0.802;0.7371959;0.774;50;50;50;50
0.20324002;0.9338235;0.7429904;0.795;0.70847744;0.803;50;50;50;50
0.23780142;0.9485294;0.77402437;0.791;0.72864366;0.784;50;50;50;50
0.23906752;0.9485294;0.785519;0.784;0.7565465;0.781;50;50;50;50
0.21623825;0.9558824;0.7635012;0.793;0.74810326;0.793;50;50;50;50
0.18223315;0.9558824;0.803986;0.782;0.7510478;0.792;50;50;50;50
0.1382652;0.9852941;0.8117334;0.785;0.7532548;0.798;50;50;50;50
0.12253313;0.97794116;0.8250337;0.783;0.77346617;0.786;50;50;50;50
0.15362124;0.9632353;0.873392;0.765;0.80103344;0.783;50;50;50;50
0.17224787;0.97794116;0.8457382;0.78;0.7949853;0.785;50;50;50;50
0.20034002;0.9485294;0.87508535;0.777;0.8248324;0.777;50;50;50;50
0.09589942;1.0;0.89405304;0.773;0.8449692;0.771;50;50;50;50
0.13601987;0.9705882;0.89265335;0.767;0.87120914;0.781;50;50;50;50
0.08415462;1.0;0.8987827;0.779;0.8742924;0.776;50;50;50;50
0.106155425;0.9852941;0.8935756;0.784;0.86830944;0.772;50;50;50;50
0.16742145;0.9485294;0.93366444;0.77;0.8647901;0.776;50;50;50;50
0.08669831;0.99264705;0.9784538;0.756;0.9266882;0.77;50;50;50;50
0.18308046;0.9558824;0.9394965;0.777;0.900732;0.78;50;50;50;50
0.05585865;0.99264705;0.93102354;0.777;0.8902813;0.777;50;50;50;50
