loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
2.2996228;0.13235295;2.303463;0.107;2.298646;0.126;6;6;6;6
2.3024478;0.09558824;2.303057;0.107;2.2990005;0.126;6;6;6;6
2.3042817;0.14705883;2.3032696;0.107;2.2987027;0.126;6;6;6;6
2.2942505;0.11764706;2.3016999;0.107;2.2981958;0.126;6;6;6;6
2.2949338;0.125;2.2970934;0.107;2.2927306;0.126;6;6;6;6
2.2813134;0.09558824;2.279391;0.125;2.275263;0.138;6;6;6;6
2.2342534;0.11764706;2.2184722;0.2;2.2161083;0.205;6;6;6;6
2.1342976;0.23529412;2.1134853;0.226;2.1130202;0.207;6;6;6;6
2.0037282;0.1764706;1.9962105;0.25;1.9957975;0.209;6;6;6;6
1.9691905;0.18382353;1.8925683;0.277;1.8932174;0.246;6;6;6;6
1.9082426;0.31617647;1.8162112;0.38;1.8223034;0.375;6;6;6;6
1.8676646;0.41911766;1.7316357;0.425;1.7378988;0.383;6;6;6;6
1.7376344;0.375;1.6054549;0.448;1.6100781;0.438;6;6;6;6
1.6224357;0.3897059;1.4874879;0.449;1.5000608;0.435;6;6;6;6
1.6292384;0.47058824;1.4172547;0.514;1.4335449;0.481;6;6;6;6
1.7661499;0.47058824;1.3811716;0.526;1.3975627;0.533;6;6;6;6
1.5723127;0.42647058;1.3458374;0.534;1.3697001;0.533;6;6;6;6
1.7271982;0.44852942;1.3172442;0.577;1.346414;0.553;6;6;6;6
1.62852;0.4852941;1.2989749;0.575;1.3242321;0.569;6;6;6;6
1.4701314;0.5441176;1.2678012;0.608;1.2914028;0.586;6;6;6;6
1.5233053;0.5588235;1.2491841;0.62;1.2709192;0.614;6;6;6;6
1.5396063;0.5147059;1.2438569;0.631;1.2578728;0.636;6;6;6;6
1.4917662;0.63235295;1.2121843;0.641;1.2310506;0.639;6;6;6;6
1.6189784;0.5514706;1.2044657;0.67;1.2359871;0.657;6;6;6;6
1.4017354;0.7205882;1.1781988;0.706;1.210626;0.68;6;6;6;6
1.5407394;0.5588235;1.1383294;0.701;1.1733813;0.688;6;6;6;6
1.3618014;0.5661765;1.1021124;0.717;1.1309651;0.706;6;6;6;6
1.4153166;0.64705884;1.0546705;0.725;1.0976728;0.71;6;6;6;6
1.2111857;0.7205882;0.98385024;0.745;1.015348;0.741;6;6;6;6
1.2110908;0.6691176;0.9543477;0.752;0.99587977;0.747;6;6;6;6
1.2034205;0.72794116;0.91044605;0.766;0.9396162;0.767;6;6;6;6
1.2590036;0.6838235;0.89315796;0.773;0.9119703;0.775;6;6;6;6
1.0551282;0.77205884;0.86603284;0.794;0.8927107;0.794;6;6;6;6
1.2973983;0.72794116;0.8448811;0.787;0.8728259;0.776;6;6;6;6
1.2166959;0.6911765;0.8213783;0.8;0.8468082;0.8;6;6;6;6
1.1136478;0.75735295;0.8348125;0.798;0.8523435;0.796;6;6;6;6
1.2026825;0.6617647;0.82020617;0.8;0.8516969;0.792;6;6;6;6
1.2212247;0.7058824;0.7919452;0.813;0.8176413;0.816;6;6;6;6
1.0636289;0.8088235;0.7993682;0.811;0.8198456;0.807;6;6;6;6
1.2046967;0.75;0.783936;0.813;0.8021456;0.811;6;6;6;6
1.0988826;0.7205882;0.78425074;0.802;0.8084939;0.789;6;6;6;6
1.3625638;0.6764706;0.76010597;0.824;0.7945001;0.801;6;6;6;6
1.1757059;0.7205882;0.7712461;0.816;0.78525317;0.808;6;6;6;6
1.3135097;0.6544118;0.76637423;0.815;0.81274617;0.797;6;6;6;6
1.2338755;0.7205882;0.7559269;0.832;0.7847344;0.808;6;6;6;6
1.1619148;0.74264705;0.7588398;0.823;0.77753973;0.815;6;6;6;6
