loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
4.323342;0.36764705;2.1071627;0.319;2.122381;0.321;84;84;84;84
3.5545363;0.6544118;1.2054708;0.65;1.2526582;0.635;84;84;84;84
3.6043162;0.6691176;0.9275973;0.776;0.9804093;0.759;84;84;84;84
3.4138272;0.7352941;0.84525514;0.823;0.87424135;0.821;84;84;84;84
3.2130425;0.7867647;0.7577816;0.838;0.7885598;0.835;84;84;84;84
3.4571502;0.7205882;0.6955084;0.86;0.7211773;0.85;84;84;84;84
3.3131413;0.7352941;0.6464637;0.877;0.6712954;0.857;84;84;84;84
3.244052;0.7647059;0.6241247;0.88;0.64758754;0.872;84;84;84;84
3.3822465;0.75;0.59327817;0.882;0.61289114;0.878;84;84;84;84
2.9424086;0.875;0.59403896;0.888;0.6092731;0.874;84;84;84;84
3.3234553;0.72794116;0.57514733;0.874;0.58365834;0.875;84;84;84;84
3.2983384;0.72794116;0.530041;0.891;0.5506669;0.883;84;84;84;84
3.1343675;0.77205884;0.5291518;0.897;0.54147226;0.886;84;84;84;84
3.0634818;0.8161765;0.5271024;0.895;0.53362155;0.891;84;84;84;84
2.8523922;0.8455882;0.51860386;0.889;0.53086674;0.875;84;84;84;84
2.9928153;0.8308824;0.5406305;0.894;0.5472815;0.883;84;84;84;84
2.8675637;0.8382353;0.52251905;0.892;0.5455492;0.876;84;84;84;84
3.1152163;0.77205884;0.5025311;0.9;0.5121731;0.89;84;84;84;84
3.0441275;0.7941176;0.50314236;0.89;0.5191422;0.882;84;84;84;84
2.8848758;0.8382353;0.51368845;0.891;0.51821154;0.889;84;84;84;84
2.9083493;0.8161765;0.4870898;0.893;0.5055894;0.889;84;84;84;84
2.9763114;0.7941176;0.48976138;0.885;0.50129026;0.887;84;84;84;84
3.056918;0.8161765;0.4729729;0.898;0.49502096;0.884;84;84;84;84
3.019635;0.8014706;0.48893806;0.887;0.5030725;0.877;84;84;84;84
3.1690123;0.75735295;0.5186856;0.872;0.5145061;0.878;84;84;84;84
2.8845296;0.8161765;0.5030149;0.881;0.5130109;0.875;84;84;84;84
2.7230234;0.89705884;0.5013409;0.887;0.5126404;0.879;84;84;84;84
2.8946674;0.8014706;0.5480861;0.862;0.5398041;0.868;84;84;84;84
2.9721577;0.8161765;0.5301648;0.872;0.548256;0.861;84;84;84;84
2.9944613;0.8014706;0.5294223;0.871;0.5390408;0.863;84;84;84;84
2.8886006;0.8161765;0.5056767;0.875;0.52965605;0.865;84;84;84;84
2.8108287;0.8455882;0.50988674;0.876;0.53932506;0.861;84;84;84;84
2.8136609;0.8382353;0.52559674;0.857;0.5376739;0.867;84;84;84;84
2.7427874;0.8382353;0.60328245;0.843;0.5991131;0.836;84;84;84;84
2.6782393;0.88235295;0.54776514;0.851;0.54941744;0.853;84;84;84;84
2.7428546;0.8455882;0.6278705;0.829;0.6211726;0.827;84;84;84;84
2.8659787;0.8308824;0.6442609;0.823;0.6440756;0.815;84;84;84;84
2.596439;0.9117647;0.5767679;0.846;0.5995525;0.831;84;84;84;84
2.6004584;0.9044118;0.58298385;0.849;0.5810409;0.831;84;84;84;84
2.541305;0.9191176;0.61245793;0.83;0.5922404;0.832;84;84;84;84
2.6434562;0.89705884;0.6209657;0.841;0.6187762;0.83;84;84;84;84
2.6996155;0.86764705;0.6698438;0.819;0.65312916;0.819;84;84;84;84
2.5657978;0.9044118;0.632893;0.827;0.6232769;0.834;84;84;84;84
2.5363286;0.9044118;0.6598177;0.827;0.65944993;0.815;84;84;84;84
2.6266496;0.89705884;0.6748344;0.82;0.6499219;0.813;84;84;84;84
2.7197127;0.8455882;0.69512725;0.822;0.68720615;0.809;84;84;84;84
2.5355492;0.9044118;0.7097346;0.813;0.68483347;0.808;84;84;84;84
2.4999971;0.9338235;0.71572155;0.809;0.69735616;0.813;84;84;84;84
2.426972;0.9264706;0.7599575;0.801;0.7317273;0.791;84;84;84;84
2.4149237;0.9485294;0.77908295;0.797;0.73616683;0.798;84;84;84;84
2.487421;0.89705884;0.844153;0.788;0.7819391;0.777;84;84;84;84
2.6255882;0.875;0.7763971;0.808;0.74530655;0.805;84;84;84;84
2.424665;0.9338235;0.84328574;0.788;0.7913798;0.783;84;84;84;84
2.594089;0.89705884;0.88345563;0.775;0.84578913;0.774;84;84;84;84
2.4131768;0.9264706;0.84585935;0.8;0.7981585;0.79;84;84;84;84
2.3868084;0.9338235;0.86671996;0.786;0.81026745;0.792;84;84;84;84
2.605394;0.88235295;0.93286675;0.767;0.864286;0.784;84;84;84;84
2.4034348;0.9558824;0.86831015;0.787;0.79937;0.807;84;84;84;84
2.3817089;0.9338235;0.96003824;0.78;0.866831;0.773;84;84;84;84
2.4194427;0.9338235;0.9618114;0.783;0.87778103;0.787;84;84;84;84
2.3840592;0.9632353;1.0027761;0.763;0.93187594;0.773;84;84;84;84
2.4773202;0.9191176;1.0355299;0.757;0.94454205;0.782;84;84;84;84
2.3596158;0.9411765;1.0931394;0.743;0.9981279;0.771;84;84;84;84
2.3766196;0.9411765;1.0671968;0.764;0.9837196;0.771;84;84;84;84
2.364452;0.9485294;1.1028852;0.766;1.0299798;0.764;84;84;84;84
2.459657;0.9191176;1.081567;0.767;1.0001043;0.785;84;84;84;84
2.310495;0.9705882;1.1619183;0.753;1.0512364;0.762;84;84;84;84
2.3426783;0.9558824;1.1567436;0.753;1.0616852;0.772;84;84;84;84
2.3507154;0.9558824;1.2074106;0.744;1.1027347;0.761;84;84;84;84
2.350348;0.9632353;1.1921955;0.761;1.114919;0.769;84;84;84;84
2.4132342;0.9338235;1.2195446;0.752;1.1632993;0.756;84;84;84;84
2.3254218;0.9558824;1.1920519;0.761;1.0960042;0.767;84;84;84;84
2.3298814;0.9338235;1.2966661;0.749;1.1737562;0.765;84;84;84;84
2.2987013;0.9705882;1.2752608;0.744;1.1584344;0.77;84;84;84;84
2.2876537;0.97794116;1.3360957;0.751;1.2008662;0.761;84;84;84;84
2.302447;0.9632353;1.3734074;0.745;1.2757168;0.756;84;84;84;84
2.3268595;0.9705882;1.4244872;0.745;1.292726;0.753;84;84;84;84
2.2957776;0.9705882;1.3703723;0.743;1.2211981;0.77;84;84;84;84
2.287092;0.9632353;1.4023516;0.743;1.2829049;0.765;84;84;84;84
2.3198872;0.9558824;1.55846;0.732;1.3570035;0.748;84;84;84;84
2.312372;0.9705882;1.5378054;0.731;1.344404;0.758;84;84;84;84
2.2824173;0.9705882;1.4725212;0.756;1.2817898;0.763;84;84;84;84
2.328076;0.9558824;1.4726224;0.746;1.3424646;0.752;84;84;84;84
2.2174091;0.99264705;1.5129431;0.747;1.3872573;0.755;84;84;84;84
2.2628396;0.9852941;1.5551199;0.734;1.3636209;0.765;84;84;84;84
2.2232912;0.99264705;1.5776714;0.735;1.4337144;0.744;84;84;84;84
2.2870011;0.9558824;1.5641145;0.742;1.4342699;0.761;84;84;84;84
2.2233784;1.0;1.5812583;0.747;1.4620636;0.761;84;84;84;84
2.2160926;1.0;1.6231726;0.743;1.4825482;0.762;84;84;84;84
2.2112453;1.0;1.6828052;0.746;1.535179;0.742;84;84;84;84
2.2512264;0.9632353;1.7514488;0.719;1.5238492;0.744;84;84;84;84
2.255254;0.97794116;1.7193499;0.744;1.5331227;0.757;84;84;84;84
2.2990248;0.9705882;1.6726223;0.736;1.4953204;0.765;84;84;84;84
2.220636;0.99264705;1.7933612;0.736;1.5374587;0.755;84;84;84;84
2.2362607;0.97794116;1.7531134;0.734;1.5337764;0.76;84;84;84;84
2.2390635;0.9852941;1.8304315;0.741;1.6496503;0.76;84;84;84;84
2.1961074;1.0;1.8991348;0.738;1.667644;0.756;84;84;84;84
2.198628;1.0;1.8411107;0.755;1.6738456;0.76;84;84;84;84
2.2340612;0.9852941;1.8815256;0.732;1.6461833;0.75;84;84;84;84
2.242008;0.97794116;1.9169009;0.741;1.7628256;0.74;84;84;84;84
2.223201;0.9852941;1.8748894;0.739;1.6570932;0.75;84;84;84;84
2.2108388;0.9852941;1.9580388;0.729;1.7850924;0.743;84;84;84;84
2.2195132;0.9852941;2.012449;0.734;1.7697358;0.753;84;84;84;84
2.2043884;1.0;2.106173;0.704;1.9099644;0.746;84;84;84;84
