loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
6.671233;0.11029412;2.3019123;0.106;2.303435;0.099;20;20;20;20
4.6652384;0.13235295;2.3019361;0.106;2.3026664;0.099;20;20;20;20
3.4771557;0.16911764;2.3019214;0.106;2.3021414;0.099;20;20;20;20
2.837048;0.10294118;2.3020058;0.106;2.301588;0.099;20;20;20;20
2.5338736;0.10294118;2.302076;0.106;2.301072;0.099;20;20;20;20
2.4010134;0.13970588;2.3022072;0.106;2.3005795;0.099;20;20;20;20
2.3591342;0.04411765;2.302369;0.106;2.3002474;0.099;20;20;20;20
2.3282437;0.080882356;2.3024273;0.106;2.2999353;0.099;20;20;20;20
2.3179853;0.13235295;2.3025646;0.107;2.2995996;0.126;20;20;20;20
2.319113;0.18382353;2.3026888;0.107;2.2992947;0.126;20;20;20;20
2.3346775;0.080882356;2.3028266;0.107;2.2990196;0.126;20;20;20;20
2.327845;0.0882353;2.3029659;0.107;2.2988186;0.126;20;20;20;20
2.320442;0.11764706;2.3030455;0.107;2.298715;0.126;20;20;20;20
2.3274958;0.13235295;2.3031552;0.107;2.298595;0.126;20;20;20;20
2.319134;0.16176471;2.3032207;0.107;2.2984824;0.126;20;20;20;20
2.3214881;0.11029412;2.3033335;0.107;2.2983975;0.126;20;20;20;20
2.3316853;0.073529415;2.3033898;0.107;2.298284;0.126;20;20;20;20
2.3201022;0.14705883;2.303441;0.107;2.2982004;0.126;20;20;20;20
2.3290641;0.080882356;2.303517;0.107;2.298106;0.126;20;20;20;20
2.3240607;0.11764706;2.3035617;0.107;2.298066;0.126;20;20;20;20
2.3184953;0.14705883;2.3036182;0.107;2.2979934;0.126;20;20;20;20
2.3184056;0.0882353;2.303696;0.107;2.2979352;0.126;20;20;20;20
2.3276951;0.10294118;2.3038042;0.107;2.2978823;0.126;20;20;20;20
2.31632;0.14705883;2.303773;0.107;2.2978182;0.126;20;20;20;20
2.3179631;0.125;2.3038313;0.107;2.2978222;0.126;20;20;20;20
2.3172553;0.16176471;2.303871;0.107;2.297759;0.126;20;20;20;20
2.3241963;0.09558824;2.3038917;0.107;2.2977388;0.126;20;20;20;20
2.3301847;0.10294118;2.3039162;0.107;2.2976875;0.126;20;20;20;20
2.3252876;0.11764706;2.3039207;0.107;2.2976916;0.126;20;20;20;20
2.3301146;0.125;2.3039842;0.107;2.2976346;0.126;20;20;20;20
2.3320048;0.10294118;2.304018;0.107;2.2975924;0.126;20;20;20;20
2.3166926;0.16176471;2.304037;0.107;2.2975912;0.126;20;20;20;20
2.3229208;0.09558824;2.3040066;0.107;2.2976458;0.126;20;20;20;20
2.3259;0.11029412;2.3040223;0.107;2.297625;0.126;20;20;20;20
2.3220823;0.13235295;2.3040493;0.107;2.297593;0.126;20;20;20;20
2.321689;0.09558824;2.3040752;0.107;2.2976134;0.126;20;20;20;20
2.3225746;0.13235295;2.3040645;0.107;2.2975912;0.126;20;20;20;20
2.3194408;0.09558824;2.3040838;0.107;2.2975597;0.126;20;20;20;20
2.3170633;0.14705883;2.3040912;0.107;2.2975292;0.126;20;20;20;20
2.316024;0.14705883;2.3040986;0.107;2.2975395;0.126;20;20;20;20
2.3295686;0.14705883;2.3041174;0.107;2.297558;0.126;20;20;20;20
2.319249;0.15441176;2.3040998;0.107;2.2975292;0.126;20;20;20;20
2.320686;0.11764706;2.3040729;0.107;2.2975187;0.126;20;20;20;20
2.3231823;0.10294118;2.3040524;0.107;2.2974787;0.126;20;20;20;20
2.322451;0.11764706;2.3040812;0.107;2.2974744;0.126;20;20;20;20
2.3341498;0.080882356;2.304101;0.107;2.2975056;0.126;20;20;20;20
2.318047;0.10294118;2.30405;0.107;2.2974818;0.126;20;20;20;20
2.3176262;0.10294118;2.304071;0.107;2.2975237;0.126;20;20;20;20
2.31931;0.073529415;2.3040814;0.107;2.2975106;0.126;20;20;20;20
2.3254077;0.11029412;2.3041615;0.107;2.297477;0.126;20;20;20;20
2.31872;0.125;2.3041575;0.107;2.2974966;0.126;20;20;20;20
2.328319;0.09558824;2.3041246;0.107;2.2975318;0.126;20;20;20;20
2.3245165;0.09558824;2.3041224;0.107;2.2975464;0.126;20;20;20;20
2.3181384;0.13970588;2.304129;0.107;2.29755;0.126;20;20;20;20
2.337444;0.066176474;2.3041394;0.107;2.297561;0.126;20;20;20;20
2.3188748;0.10294118;2.3040469;0.107;2.297588;0.126;20;20;20;20
2.3221;0.14705883;2.3041008;0.107;2.2975547;0.126;20;20;20;20
2.3172421;0.11764706;2.3040898;0.107;2.297559;0.126;20;20;20;20
2.3098853;0.13970588;2.3040931;0.107;2.2975883;0.126;20;20;20;20
2.3216336;0.13970588;2.3041308;0.107;2.2975533;0.126;20;20;20;20
2.3297942;0.09558824;2.3041415;0.107;2.2975023;0.126;20;20;20;20
2.3119266;0.13235295;2.3040974;0.107;2.2975287;0.126;20;20;20;20
2.3290498;0.073529415;2.3041344;0.107;2.2974832;0.126;20;20;20;20
2.3191462;0.080882356;2.3041115;0.107;2.2975206;0.126;20;20;20;20
2.31898;0.14705883;2.304176;0.107;2.297527;0.126;20;20;20;20
2.3283904;0.09558824;2.3041706;0.107;2.2975147;0.126;20;20;20;20
2.3201396;0.10294118;2.3041706;0.107;2.2975488;0.126;20;20;20;20
2.3283758;0.066176474;2.3041341;0.107;2.2975798;0.126;20;20;20;20
2.320648;0.11029412;2.3041134;0.107;2.2975795;0.126;20;20;20;20
2.3319483;0.04411765;2.3041444;0.107;2.2975512;0.126;20;20;20;20
2.3262815;0.080882356;2.3041022;0.107;2.2976234;0.126;20;20;20;20
2.3194704;0.16176471;2.304092;0.107;2.297621;0.126;20;20;20;20
2.3131962;0.125;2.3040948;0.107;2.2975907;0.126;20;20;20;20
2.327877;0.125;2.304127;0.107;2.2975461;0.126;20;20;20;20
2.315689;0.09558824;2.3041017;0.107;2.2975614;0.126;20;20;20;20
2.3244433;0.125;2.3041663;0.107;2.2975392;0.126;20;20;20;20
2.3243446;0.09558824;2.3041375;0.107;2.2975194;0.126;20;20;20;20
2.3180964;0.11029412;2.304157;0.107;2.2974756;0.126;20;20;20;20
2.3169372;0.11029412;2.3041234;0.107;2.2975423;0.126;20;20;20;20
2.3184118;0.11764706;2.3041549;0.107;2.297531;0.126;20;20;20;20
2.3269117;0.0882353;2.3041902;0.107;2.2975225;0.126;20;20;20;20
2.3152406;0.0882353;2.3041368;0.107;2.2975724;0.126;20;20;20;20
2.3206704;0.13235295;2.304141;0.107;2.297538;0.126;20;20;20;20
2.3230813;0.11764706;2.304172;0.107;2.2975318;0.126;20;20;20;20
2.3256643;0.11029412;2.304143;0.107;2.2975307;0.126;20;20;20;20
2.315015;0.13970588;2.304132;0.107;2.2975569;0.126;20;20;20;20
2.307391;0.16176471;2.3041306;0.107;2.2975888;0.126;20;20;20;20
2.3161263;0.13970588;2.3041923;0.107;2.2975154;0.126;20;20;20;20
2.3228958;0.11029412;2.30418;0.107;2.2975547;0.126;20;20;20;20
2.315455;0.15441176;2.3042076;0.107;2.2975564;0.126;20;20;20;20
2.3136077;0.19117647;2.304192;0.107;2.2975502;0.126;20;20;20;20
2.3229718;0.09558824;2.3042328;0.107;2.297496;0.126;20;20;20;20
2.3169265;0.15441176;2.304199;0.107;2.2975044;0.126;20;20;20;20
2.3146925;0.09558824;2.3041782;0.107;2.2974958;0.126;20;20;20;20
2.3197906;0.11029412;2.304203;0.107;2.2975357;0.126;20;20;20;20
