loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
11.370409;0.09558824;2.3023388;0.134;2.3037558;0.146;26;26;26;26
11.3085985;0.09558824;2.2480938;0.145;2.2469633;0.154;26;26;26;26
11.123352;0.18382353;2.0173194;0.199;2.0241318;0.174;26;26;26;26
11.005176;0.30882353;1.8067962;0.365;1.8283715;0.354;26;26;26;26
10.84625;0.5147059;1.5350598;0.562;1.560554;0.558;26;26;26;26
10.6858425;0.5588235;1.2296464;0.616;1.2605894;0.624;26;26;26;26
10.631284;0.5294118;1.1087341;0.653;1.1494612;0.65;26;26;26;26
10.666737;0.61764705;1.0482846;0.686;1.0839727;0.668;26;26;26;26
10.635356;0.52205884;1.0156897;0.704;1.0496753;0.693;26;26;26;26
10.621824;0.625;0.9841678;0.748;1.019343;0.73;26;26;26;26
10.331917;0.6764706;0.9677068;0.749;1.0011286;0.747;26;26;26;26
10.422887;0.625;0.92975605;0.765;0.9628451;0.754;26;26;26;26
10.545595;0.6617647;0.921719;0.758;0.94874287;0.743;26;26;26;26
10.357943;0.6691176;0.89312255;0.78;0.9264547;0.76;26;26;26;26
10.519154;0.64705884;0.89303887;0.776;0.9191332;0.77;26;26;26;26
10.428019;0.6911765;0.8594897;0.784;0.8824225;0.787;26;26;26;26
10.338555;0.75735295;0.847535;0.792;0.87212104;0.792;26;26;26;26
10.4386425;0.7352941;0.8308082;0.803;0.85371643;0.806;26;26;26;26
10.287384;0.7205882;0.82077366;0.808;0.8434864;0.795;26;26;26;26
10.392192;0.6985294;0.8125803;0.815;0.84463006;0.795;26;26;26;26
10.36995;0.7132353;0.78401256;0.827;0.8062213;0.811;26;26;26;26
10.385143;0.6838235;0.78091687;0.817;0.8022528;0.812;26;26;26;26
10.349278;0.7058824;0.7815008;0.811;0.80010164;0.804;26;26;26;26
10.249437;0.7058824;0.7664424;0.818;0.7804343;0.815;26;26;26;26
10.154504;0.77205884;0.7544658;0.82;0.7705288;0.82;26;26;26;26
10.199383;0.7352941;0.7377089;0.834;0.76974046;0.815;26;26;26;26
9.883035;0.8235294;0.73760515;0.832;0.7550687;0.822;26;26;26;26
10.207531;0.74264705;0.7288971;0.831;0.73854274;0.835;26;26;26;26
9.970234;0.7941176;0.7332298;0.833;0.74638134;0.822;26;26;26;26
10.205834;0.74264705;0.7090214;0.841;0.7333629;0.826;26;26;26;26
10.256968;0.75735295;0.7070835;0.837;0.7198158;0.837;26;26;26;26
10.223516;0.7132353;0.7020484;0.844;0.7235353;0.829;26;26;26;26
10.101942;0.7352941;0.6939504;0.849;0.7177448;0.841;26;26;26;26
10.109424;0.7205882;0.6835731;0.844;0.7082386;0.839;26;26;26;26
10.292347;0.7352941;0.6860149;0.845;0.70116323;0.84;26;26;26;26
9.9460335;0.8235294;0.6859314;0.853;0.70013535;0.842;26;26;26;26
10.007876;0.7867647;0.6785489;0.848;0.68983656;0.846;26;26;26;26
10.192859;0.74264705;0.67984086;0.849;0.696815;0.845;26;26;26;26
9.992416;0.8014706;0.67675316;0.842;0.68661326;0.841;26;26;26;26
10.304534;0.7132353;0.67841667;0.846;0.69073594;0.845;26;26;26;26
9.931938;0.8014706;0.6879277;0.84;0.694483;0.842;26;26;26;26
10.069217;0.7867647;0.66997415;0.844;0.68068707;0.846;26;26;26;26
9.949192;0.7867647;0.6767753;0.846;0.68655664;0.848;26;26;26;26
10.322784;0.6985294;0.6773693;0.843;0.6813142;0.847;26;26;26;26
