loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
70.943436;0.11764706;57.612003;0.091;58.916348;0.087;390;390;390;390
36.964195;0.11764706;36.699684;0.106;36.87847;0.099;390;390;390;390
23.6157;0.066176474;21.879925;0.106;21.381758;0.099;390;390;390;390
10.519804;0.11029412;9.543072;0.106;9.945593;0.099;390;390;390;390
13.80384;0.080882356;12.981702;0.104;13.689955;0.087;390;390;390;390
16.845211;0.080882356;14.744669;0.093;15.079785;0.116;390;390;390;390
9.49955;0.09558824;7.6205335;0.105;7.2445555;0.107;390;390;390;390
11.063928;0.036764707;11.51266;0.126;11.6773405;0.115;390;390;390;390
6.5372415;0.13970588;9.690637;0.165;9.016303;0.184;390;390;390;390
2.9420478;0.2720588;3.5409687;0.144;3.3985384;0.154;390;390;390;390
2.043782;0.30882353;2.5090346;0.302;2.479305;0.278;390;390;390;390
1.8719215;0.3897059;1.8091468;0.363;1.7847569;0.399;390;390;390;390
1.8374125;0.31617647;1.663921;0.503;1.7086601;0.465;390;390;390;390
1.7581655;0.5147059;1.6860348;0.448;1.7172526;0.423;390;390;390;390
2.3907511;0.27941176;1.7573164;0.479;1.7855557;0.466;390;390;390;390
2.1896544;0.3529412;2.073665;0.259;2.225915;0.214;390;390;390;390
3.32517;0.19117647;3.1771808;0.214;3.3038526;0.21;390;390;390;390
8.166269;0.11764706;9.309632;0.1;10.169744;0.085;390;390;390;390
5.013866;0.1985294;5.0730677;0.2;4.7620826;0.213;390;390;390;390
7.305869;0.19117647;7.419488;0.107;7.5999255;0.087;390;390;390;390
8.445915;0.10294118;9.864665;0.141;9.479081;0.111;390;390;390;390
4.164348;0.21323529;4.593138;0.328;4.588963;0.327;390;390;390;390
4.8164725;0.21323529;3.3918438;0.321;3.4583795;0.283;390;390;390;390
3.9749746;0.15441176;3.2900777;0.126;3.2273812;0.14;390;390;390;390
2.2031434;0.30882353;2.2234187;0.386;2.1541247;0.387;390;390;390;390
1.5824342;0.4852941;1.4367654;0.598;1.508257;0.568;390;390;390;390
1.5753939;0.49264705;1.4215827;0.623;1.3947129;0.641;390;390;390;390
1.5718414;0.5735294;1.323118;0.588;1.3420299;0.569;390;390;390;390
1.5711985;0.5882353;1.3739483;0.558;1.3754547;0.561;390;390;390;390
1.4157561;0.5808824;1.187812;0.674;1.205509;0.646;390;390;390;390
1.3986917;0.5735294;1.2150073;0.672;1.2128575;0.66;390;390;390;390
1.6008852;0.5661765;1.1699648;0.661;1.2200671;0.64;390;390;390;390
1.7574083;0.4852941;1.214559;0.606;1.2118107;0.595;390;390;390;390
1.470607;0.5588235;1.1534492;0.649;1.1477863;0.646;390;390;390;390
1.5251724;0.5735294;1.2042297;0.589;1.2052889;0.583;390;390;390;390
1.5861013;0.49264705;1.2844685;0.517;1.2754984;0.538;390;390;390;390
1.5194826;0.5735294;1.0309358;0.753;1.0472041;0.744;390;390;390;390
1.5169802;0.5735294;1.0228899;0.73;1.0115469;0.733;390;390;390;390
1.3605499;0.60294116;1.0357032;0.713;1.080292;0.696;390;390;390;390
1.6397328;0.5367647;1.1195518;0.626;1.1729802;0.601;390;390;390;390
