loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
2.3173273;0.11764706;2.3033147;0.105;2.305712;0.107;2;2;2;2
2.3156955;0.0882353;2.30313;0.105;2.3048475;0.107;2;2;2;2
2.3065534;0.13970588;2.3029063;0.105;2.304118;0.107;2;2;2;2
2.304811;0.05147059;2.3028133;0.105;2.3034809;0.107;2;2;2;2
2.3022025;0.11029412;2.302702;0.105;2.3029373;0.107;2;2;2;2
2.2939453;0.14705883;2.3026435;0.105;2.302452;0.107;2;2;2;2
2.300588;0.11029412;2.3025942;0.105;2.302008;0.107;2;2;2;2
2.3037565;0.066176474;2.3025348;0.105;2.3016052;0.107;2;2;2;2
2.308369;0.05882353;2.3024728;0.105;2.301322;0.107;2;2;2;2
2.301327;0.080882356;2.3024857;0.105;2.3010008;0.107;2;2;2;2
2.2987285;0.10294118;2.3024938;0.105;2.3007722;0.107;2;2;2;2
2.2987723;0.0882353;2.302461;0.105;2.3004637;0.107;2;2;2;2
2.2986174;0.125;2.3024774;0.105;2.3003192;0.107;2;2;2;2
2.295973;0.13235295;2.3024592;0.106;2.300186;0.099;2;2;2;2
2.3052828;0.10294118;2.3024762;0.106;2.3000078;0.099;2;2;2;2
2.3007982;0.073529415;2.3024962;0.106;2.2998438;0.099;2;2;2;2
2.2986572;0.125;2.3025126;0.106;2.2997038;0.099;2;2;2;2
2.303889;0.10294118;2.3025255;0.106;2.2995992;0.099;2;2;2;2
2.3025014;0.125;2.3025484;0.106;2.2995284;0.099;2;2;2;2
2.2953453;0.09558824;2.3025453;0.106;2.299442;0.099;2;2;2;2
2.299393;0.09558824;2.302569;0.106;2.2993412;0.099;2;2;2;2
2.2958503;0.11029412;2.3025794;0.106;2.2993128;0.099;2;2;2;2
2.3035767;0.080882356;2.3025963;0.107;2.299207;0.126;2;2;2;2
2.299985;0.09558824;2.302592;0.107;2.2992473;0.126;2;2;2;2
2.3007755;0.066176474;2.3026137;0.107;2.2991605;0.126;2;2;2;2
2.30261;0.09558824;2.3026056;0.107;2.2991395;0.126;2;2;2;2
2.3026655;0.0882353;2.3026466;0.107;2.299061;0.126;2;2;2;2
2.3002782;0.11029412;2.3026133;0.107;2.299091;0.126;2;2;2;2
